id,character,origin_dialogue,translated_dialogue
BBLI001BZ,Bobby,We can't get past this. This is STUPID.,
BBLI002RA,Raz,"Hmm. Looks like a test. There's probably a secret, more advanced route.",
BBLI003BZ,Bobby,"What's THAT supposed to mean? You think you're more advanced than me, new kid?",
BBLI004RA,Raz,Sorry. What?,
BBLI005BZ,Bobby,I'm not stupid. You're stupid. The Coach is stupid. The whole camp is stupid. That thing flying at you is stupid!,
BBLI006RA,Raz,What's flying at me?,
BBLI007RA,Raz,Wha--,
BBLI008BZ,Bobby,"Bobby Zilch's foot, that's what! Ya stupid new kid! Yeah!",
BBLI009BZ,Bobby,"Eh, eh-heh! Eh, eh, eh-eh! Eh, eh-eh!",
BBLI010RA,Raz,Waaaahhh-uh!,
BBLI011RA,Raz,Uh-huh?,
BBLI012RA,Raz,"Oh, heh. Thanks for saving me!",
BBLI013LI,Lili,"Well, actually, I was saving this plant.",
BBLI014RA,Raz,Huh. Never seen one so meaty before.,
BBLI015LI,Lili,I have. It's been appearing in this creepy nightmare I keep having.,
BBLI016RA,Raz,"You're having nightmares? Oh, I've been reading about how to fix those! Will you let me see one?",
BBLI017LI,Lili,Hmmm. No.,
BBVI001RA,Raz,Hello!,
BBVI002RA,Raz,Hello?,
BBVI003RA,Raz,Guess I'm early.,
BBVI004RA,Raz,Hmmm...,
BBVI005CO,Coach,"HOLD IT RIGHT THERE, SON!",
BBVI006CO,Coach,Now just what in the sam hill do you thing you're doing in there?,
BBVI007RA,Raz,I was just looking for a way out.,
BBVI008CO,Coach,Oh,
BBVI009CO,Coach,You found it!,
BBVI010RA,Raz,Yeeeh!,
BBVI011CO,Coach,Sorry about that.,
BBVI012CO,Coach,Didn't think you'd get to the end so fast.,
BBVI013CO,Coach,Dang! I didn't think you'd get to the end at all!,
BBVI014CO,Coach,But I'm always glad to see a soldier come back from the field alive.,
BBVI015CO,Coach,"You surprised me out there, kid.",
BBVI016CO,Coach,Here. You've earned this.,
BBVI017CO,Coach,Your first PSYCHONAUT MERIT BADGE!,
BBVI018CO,Coach,"Now if you'll excuse me, I gotta go back in.",
BBVI019CO,Coach,I left some good men back there!,
BBBI030CO,Coach,Your Mental Health depends on your hustle.,
BBBI031CO,Coach,"If you get hurt in this plane, you will lose mental health, and not be able to maintain your projection onto the field of battle.",
BBBI032CO,Coach,YOU WILL BE SENT BACK TO THE REAL WORLD DO YOU UNDERSTAND?,
BBBI033RA,Raz,Yes sir!,
BBBI034CO,Coach,THEN LET'S HIT THIS BEACH!,
BBBI035CO,Coach,LET'S TAKE THAT HILL!,
BBBI036CO,Coach,Let's GO GO GO!!!,
BBBI037RA,Raz,This... rocks.,
BBBI038CO,Coach,"Onward and upward, soldier!",
BBBI039CO,Coach,Go go go!,
BBBI040CO,Coach,"It's game day, kid!",
BBBI041CO,Coach,Move! Move! Move!,
BBBI042CO,Coach,"Dang, my BOWELS move more than you do, pokey!",
BBBI043CO,Coach,You're like molasses goin' uphill in January--with crutches.,
BBBI044CO,Coach,"LESS WAITING, MORE MOTIVATING!",
BBBI045CO,Coach,You'll have plenty of time to stand around when you're dead!,
BBBI046CO,Coach,Is your name Joey?,
BBBI047RA,Raz,No!,
BBBI048CO,Coach,"Cuz I'm gonna call ya ""Slowey Joey.""",
BBBI049RA,Raz,That's not my name!,
BBBI051CO,Coach,I can't hear ya! Yer talking too slow!,
BBBI052CO,Coach,Ha ha ha!,
BBBI053CO,Coach,"You hit that ladder hard, son!",
BBBI054CO,Coach,Show it who's boss!,
BBBI055CO,Coach,"Now that kind of wall, you can climb it up, down, sideways, whatever way you want.",
BBBI056CO,Coach,Just get on it!,
BBBI057CO,Coach,Quick! Like a monkey!,
BBBI058CO,Coach,Ooo! Ooo! Ooo!,
BBBI059CO,Coach,"Hold it right there, boy.",
BBBI060CO,Coach,That's a Mental Cobweb.,
BBBI061CO,Coach,You touch one of them you're in a world of hurt.,
BBBI062CO,Coach,"You can collect them with a specialized piece of equipment, once you get checked out on it.",
BBBI063CO,Coach,"Until then, just steer clear of 'em.",
BBBI072CO,Coach,Relax--that's just a figment of my imagination.,
BBBI073CO,Coach,You can run right through figments.,
BBBI074CO,Coach,"So whenever you see a figment--suck it up, soldier!",
BBBI075CO,Coach,Come on!,
BBBI076CO,Coach,Get that figment!,
BBBI077CO,Coach,Be a figgy piggy!,
BBBI078CO,Coach,Who's Coach's little piggy?,
BBBI079CO,Coach,Oink! Oink! Oink!,
BBBI080CO,Coach,"As you can see, the trapeze is very difficult.",
BBBI081CO,Coach,Most cadets can't handle it.,
BBBI082CO,Coach,You might just want to stay away from it.,
BBBI083CO,Coach,You'd still get a participation ribbon at the end of camp...,
BBBI084CO,Coach,"Hey, you got on!",
BBBI086CO,Coach,"Hey, where'd you learn how to do that?",
BBBI087CO,Coach,"Watch those mines, kid.",
BBBI088CO,Coach,They'll blow you up like a ten-cent Kazoo.,
BBBI089CO,Coach,"Fire, bad. I have to tell you everything, kid?",
BBBI090CO,Coach,Watch it with the tight rope.,
BBBI095CO,Coach,You can grab poles like that and swing on 'em.,
BBBI097CO,Coach,"It's all about upper body strength, you know.",
BBBI098CO,Coach,Hrrrrrr!,
BBBI101CO,Coach,"Gotta keep moving, kid!",
BBBI103RA,Raz,"Hey, you guys... need a hand?",
BBBI111RA,Raz,Hi.,
BBBI112DO,Dogen,Hi! My name's Dogen.,
BBBI113RA,Raz,I know!,
BBBI114DO,Dogen,Really? How? Can you read minds too?,
BBBI118RA,Raz,"Well, good luck with that! Bye!",
BBBI119RA,Raz,Follow me! I'll help you through the mines!,
BBBI120DO,Dogen,Mmm-kay.,
BBBI122DO,Dogen,Thanks for helping me.,
BBBI123DO,Dogen,"Hey, you're cool!",
BBBI124DO,Dogen,"Hey, umm, this is for helping me out!",
BBBI125DO,Dogen,Kay. Bye.,
BBBI126CO,Coach,"Ah, the ol' rolling tunnel of crazy logs bit!",
BBBI127CO,Coach,An old one but a hard one!,
BBBI128CO,Coach,What you gotta do is...,
BBBI129CO,Coach,Heh heh,
BBBI131CO,Coach,"Ah, who we kiddin'?",
BBBI132CO,Coach,You're never gonna make it through that!,
BBBI133CO,Coach,AH-HA HA HA HA HA!,
BBBI134CO,Coach,Mentalis Uber Alles!,
BBBI135RA,Raz,Yyyyoink!,
BBBI136RA,Raz,Ssssp!,
BBBI137RA,Raz,Yyyyyyp!,
BBBI138RA,Raz,Fffffp!,
BBBI139RA,Raz,Rrrrrrrop!,
BBAB005RA,Raz,So... this is it! The mental world...,
BBAB006EF,Elton,It looks like a dentist office.,
BBAB007RA,Raz,A mental dentist office!,
BBAB009CO,Coach,"It's a recruiting office, kids, and I'm here to recruit you for the greatest job in the world.",
BBAB010CO,Coach,Being a Psychonaut.,
BBAB011CO,Coach,It's about fighting a war for mental freedom!,
BBAB012CO,Coach,"Are you ready to face torture, insanity, and death?",
BBAB013CO,Coach,Cuz this is your last chance to chicken out!,
