identifier,labels,context,source,translation
BVCH001LA,BVCH,Lampita,Matador! Matador! That's the team I'm rooting for!,
BVCH002LA,BVCH,Lampita,Yeeeeaaaaahhhh Dingo!,
BVCH003LA,BVCH,Lampita,Woo-hoo!,
BVCH004LA,BVCH,Lampita,Woo-hoo! C'mon!,
BVCH005LA,BVCH,Lampita,Wooo! Hahaha!,
BVCH006LA,BVCH,Lampita,Let's go Dingo let's go!,
BVCH008LA,BVCH,Lampita,East and west!,
BVCH009LA,BVCH,Lampita,He's the best!,
BVCH010LA,BVCH,Lampita,Diiiiiiiii-ingo!,
BVCH011LA,BVCH,Lampita,Woooo!,
BVCH012LA,BVCH,Lampita,Be aggressive! Be-e aggressive!,
BVCH013LA,BVCH,Lampita,B-e-a-g-g,
BVCH014LA,BVCH,Lampita,r-e-s-s-i-v-e!,
BVCH015LA,BVCH,Lampita,Beeeee aggressive! Woo-hoo!,
BVCH016LA,BVCH,Lampita,Odio! Odio!,
BVCH017LA,BVCH,Lampita,Don't be such a dodio!,
BVCH019LA,BVCH,Lampita,Go back to the rodeo!,
BVCH020LA,BVCH,Lampita,Yeah! Wooo!,
BVCH021LA,BVCH,Lampita,Dingo! Dingo! Don't be shy!,
BVCH022LA,BVCH,Lampita,Stab that bull and make him cry!,
BVCH023LA,BVCH,Lampita,Put that blade right through his skull.,
BVCH024LA,BVCH,Lampita,Murderize that stupid bull!,
BVCH025LA,BVCH,Lampita,"Yeah, Seniors! Go Seniors! Wooo!",
BVDO001ED,BVDO,Edgar,Snnnrl! Ooh-ooh-ug.,
BVDO002RA,BVDO,Raz,Thought so.,
BVDO003ED,BVDO,Edgar,Where am I?,
BVDO004MA,BVDO,Matador,"Thank you for preparing the bull, my humble picador. I shall now finish this beast off easily.",
BVDO005RA,BVDO,Raz,"Edgar, listen. There is no El Odio, no Lampita, no Dingo.",
BVDO006RA,BVDO,Raz,They are all just creations of your rage.,
BVDO007RA,BVDO,Raz,You have to let them go or they will torture you forever.,
BVDO008ED,BVDO,Edgar,Wha--,
BVDO009RA,BVDO,Raz,"That is your romanticized memory of your ex-girlfriend Lana Panzoni, who dumped you for Dean LaGrante way back in high school!",
BVDO010RA,BVDO,Raz,They were both cheerleaders for crying out loud!,
BVDO011RA,BVDO,Raz,You can't let the junior varsity pep squad ruin your life!,
BVDO012DI,BVDO,Dingo,"Um, what's up with the ""Junior?""",
BVDO013LA,BVDO,Lampita,"Yeah, we were full-on varsity.",
BVDO014DI,BVDO,Dingo,Gimme a G!,
BVDO015LA,BVDO,Lampita,G!,
BVDO016DI,BVDO,Dingo,Gimme an O!,
BVDO017LA,BVDO,Lampita,O!,
BVDO018DI,BVDO,Dingo,Gimme a B!,
BVDO019LA,BVDO,Lampita,B!,
BVDO020DI,BVDO,Dingo,Gimme a U!,
BVDO021LA,BVDO,Lampita,U!,
BVDO022DI,BVDO,Dingo,Gimme an L!,
BVDO023LA,BVDO,Lampita,L!,
BVDO024DI,BVDO,Dingo,Gimme another L!,
BVDO026DI,BVDO,Dingo,Gimme an S!,
BVDO027LA,BVDO,Lampita,S!,
BVDO028DI,BVDO,Dingo,What's that spell?,
BVDO029LA,BVDO,Lampita,Goooooooooo BULLS! Yeah! Wooo!,
BVDO031RA,BVDO,Raz,"Edgar, listen. It's your rage that imprisons you, not them.",
BVDO032ED,BVDO,Edgar,"They stole my happiness, my life, the state semi finals, everything!",
BVDO033ED,BVDO,Edgar,Ahhhhhh!,
BVDO034RA,BVDO,Raz,"No, wait! Edgar!",
BVDO035LA,BVDO,Lampita,Olé!,
BVDO036DI,BVDO,Dingo,Ha ha ha! He never learns!,
BVDO037RA,BVDO,Raz,I guess I have to take this Matador out myself before he does too much damage.,
BVIN001RA,BVIN,Raz,That's an impressive house of cards you're building there.,
BVIN002ED,BVIN,Edgar,"And still... not high enough to reach the sky, and free her from her prison.",
BVIN003RA,BVIN,Raz,Who is she?,
BVIN004ED,BVIN,Edgar,I--I do not know.,
BVIN005ED,BVIN,Edgar,"I only know that she is beautiful, perfect, and sad.",
BVIN006ED,BVIN,Edgar,"All day she cries rose petal tears, and I can do nothing to help her because my creation... lacks something.",
BVIN007ED,BVIN,Edgar,And it will not stand against the bull.,
BVIN008RA,BVIN,Raz,What bull?,
BVIN009ED,BVIN,Edgar,El Odio.,
BVIN010RA,BVIN,Raz,"Okay, don't take this the wrong way, but I don't think you're working with a full deck here.",
BVIN011ED,BVIN,Edgar,"Somewhere along the way I feel that I lost something important, but I do not know",
BVIN012RA,BVIN,Raz,I think it's your queens. You want me to go look for them?,
BVIN013ED,BVIN,Edgar,Bring me any cards you find! I must complete this tower!,
BVOS001ED,BVOS,Edgar,Snort.,
