identifier,labels,context,source,translation
CABD001RA,CABD,Raz,Dogen! Are you okay? I had the strangest machine-induced dream about you!,
CABD002DO,CABD,Dogen,TV?,
CABD003RA,CABD,Raz,"Well, first of all, Sasha Nein invited me down to his SECRET LAB and--",
CABD005RA,CABD,Raz,He's completely brainless!,
CABD006RA,CABD,Raz,The dream was true!,
CABD007RA,CABD,Raz,"Dogen, don't worry. I know where your brains are. They're in... like, this crazy, dream-thorn-bush-straight-jacket-tower place.",
CABD008DO,CABD,Dogen,Hackey sack?,
CABD009RA,CABD,Raz,You go to the TV lounge. I'm on the case. I just need a little more advanced training to prepare,
CAJI015FO,CAJI,Ford,You'd better hurry on up there. Morry's already started in on those kids. Can't you hear 'em screaming?,
CAJI016FO,CAJI,Ford,"Nothing like the sound of kids screamin' bloody murder on a hot summer day, eh?",
CALD001RA,CALD,Raz,Lili!,
CALD002LI,CALD,Lili,"Oh, hey Raz.",
CALD003LI,CALD,Lili,"Listen, I made you something. It's kind of stupid, but--",
CALD004RA,CALD,Raz,They stole Dogen's brains!,
CALD005LI,CALD,Lili,"No, he's just like that.",
CALD006RA,CALD,Raz,I had a nightmare where this mad scientist guy said he was going to take them out and--,
CALD007LI,CALD,Lili,"Was it a creepy-looking freak with a shower cap and a stainless steel, three pronged claw?",
CALD008RA,CALD,Raz,Hey! That's MY nightmare!,
CALD009LI,CALD,Lili,So it's not just me,
CALD010RA,CALD,Raz,But how? And why all the meat?,
CALD011LI,CALD,Lili,"I don't know, but I think it's time I find out where this is coming from.",
CALD012RA,CALD,Raz,Once I get trained in Levitation I'll be able to see the rest of the nightmare and get more information.,
CALD013LI,CALD,Lili,Let's rendezvous tonight at the old boathouse for debriefing.,
CALD014RA,CALD,Raz,This is so cool.,
CALD015LI,CALD,Lili,"Yeah, it feels like that time in ""True Psychic Tales"" 314 where--",
CALD016RA,CALD,Raz,What did you just say?,
CALD017LI,CALD,Lili,Shut up!,
CALK001RA,CALK,Raz,"Bobby! Uh-oh. Look, I can explain--",
CALK003BZ,CALK,Bobby,TV??,
CALK004BZ,CALK,Bobby,TV!,
CALK005LI,CALK,Lili,Ahh-choo!,
CALK006RA,CALK,Raz,"Geez, it sounds like you caught a bad cold.",
CALK007LI,CALK,Lili,"Maybe, but LISTEN! I traced the psychic interference back to Coach Oleander's radio!",
CALK008LI,CALK,Lili,He's been broadcasting his insane plot all over camp in his sleep!,
CALK009RA,CALK,Raz,So he's really kidnapping children and stealing their brains to make weapons!,
CALK010LI,CALK,Lili,Yes! Isn't that great?,
CALK011RA,CALK,Raz,What? How is that great?,
CALK012LI,CALK,Lili,Because this is an honest-to-goodness psychic emergency!,
CALK013RA,CALK,Raz,"And Sasha's not here! He left on some ""official Psychonauts business.""",
CALK014LI,CALK,Lili,Milla left a note saying the same thing!,
CALK015RA,CALK,Raz,"Lili, a deranged madman is building an army of psychic death tanks to take over the world, and there's no one who can stop him except for you and me!",
CALK016LI,CALK,Lili,Oh my god!,
CALK017LI,CALK,Lili,Let's make out!,
CALK018RA,CALK,Raz,"Uh, what??",
CALK019LI,CALK,Lili,Sorry! I'm just so excited!,
CALK020LI,CALK,Lili,"Since you showed up, Raz, things are so much more exciting!",
CALK021LI,CALK,Lili,Sinister death plots! Mad scientists!,
CALK022LI,CALK,Lili,Hideous monsters!,
CALK023RA,CALK,Raz,Make out?,
CALK024LI,CALK,Lili,"How long have I ignored what this camp had to offer? Everything's new to me now thanks to you! I mean, look at this flower!",
CALK025RA,CALK,Raz,"You mean, like... kiss?",
CALK026LI,CALK,Lili,How many years have I been coming here and I've never even noticed a cool flower like this before?,
CALK027RA,CALK,Raz,Ahhhh--ooof!,
CALK028LI,CALK,Lili,"Oh, no! You didn't just hit my boyfriend!",
CALK029RA,CALK,Raz,Spit her out! I'm gonna Heimlich you so bad!,
CALK030RA,CALK,Raz,Lili!!!,
CALP001RA,CALP,Raz,"Hey, Lili.",
CALP002LI,CALP,Lili,Going for the advanced training? What's the rush?,
CALP003RA,CALP,Raz,Are you kidding? I only have a few days to become a Psychonaut or I lose my shot forever!,
CALP004LI,CALP,Lili,"Look, Raz, I hate to burst your bubble, but the Psychonauts are not what they used to be.",
CALP005LI,CALP,Lili,Times have changed. The world just doesn't need us anymore.,
CALP006RA,CALP,Raz,The world does too need Psychonauts!,
CALP007RA,CALP,Raz,"Right here at this very camp, in fact. I think there are several fishy things that need psychic investigating.",
CALP008LI,CALP,Lili,You are so immature!,
CALP009LI,CALP,Lili,And cute! When are you gonna just shut up and kiss me?,
CALP010RA,CALP,Raz,Shut up and do what?,
CALP011LI,CALP,Lili,"Oh. I didn't know you could--uh, I gotta go. Bye.",
CALP012LI,CALP,Lili,So embarrassing!,
CALU002RA,CALU,Raz,Gah!,
CALU003RA,CALU,Raz,"Hey, was that you? Looking at me?",
CALU004LI,CALU,Lili,Maybe you should try getting over yourself? There were a lot of other people on that stage besides you.,
CALU005RA,CALU,Raz,"No, just now. In the woods.",
CALU006RA,CALU,Raz,(sniff sniff),
CALU007RA,CALU,Raz,"No, it must have been something else.",
CALU008RA,CALU,Raz,You don't smell like pond scum.,
CALU009LI,CALU,Lili,Nice. You should write greeting cards.,
CALU010LI,CALU,Lili,"Hey, if you want to cut class later, try these smelling salts.",
CALU011LI,CALU,Lili,"They'll pop you out of anyone's mind and back to the real world before you can say, Crud! That hurts my nose!",
CALU012RA,CALU,Raz,Out of anyone's mind?,
CALU013LI,CALU,Lili,You'll find out.,
CALU014LI,CALU,Lili,"Now, mush! We don't want you to be late for class!",
CALU015RA,CALU,Raz,Why do you care if I'm late for class?,
CALU016LI,CALU,Lili,Because the late thing is MY thing. Don't copy.,
CALU017RA,CALU,Raz,There was some sort of shadowy being out there... lurking... watching...,
CALU018LI,CALU,Lili,"I know of only one creature who fits that description. It likes to hide in dark places, silently watching unsuspecting children from a distance.",
CALU019RA,CALU,Raz,Really? Who?,
CALU020LI,CALU,Lili,"You, tree sitter!  Hahahaha!",
CASR001BN,CASR,Benny,Way to make us look bad in there! You're in trouble now! Bobby Zilch ain't happy.,
CASR002BZ,CASR,Bobby,"You better watch yourself, Gogglicious.",
CASR003RA,CASR,Raz,"What's that, Hair Boy? You want a piece of me?",
CASR004LI,CASR,Lili,"Hey, brainiacs. Settle down.",
CASR005BZ,CASR,Bobby,Why? You worried I'm gonna hurt your boyfriend?,
CASR006LI,CASR,Lili,No. Because Sasha Nein is standing right behind you.,
CASR007SA,CASR,Sasha,"Your performance, young cadet, was outstanding. I'd like you to report to my lab for some advanced training.",
