identifier,labels,context,source_phase,translation
CAZE001TO,CAZE,System,Move /LookControls/ to look right.,
CAZE002TO,CAZE,System,Move /LookControls/ to look up.,
CAZE005TO,CAZE,System,Move /LookControls/ to look around.,
CAZE010TO,CAZE,System,Use /MovementControls/ to aim your toss.,
CAZE014TO,CAZE,System,Try hanging and swinging on these wood supports. Use /MovementControls/ to swing.  Press /AButton/ to jump off.,
CAZE021TO,CAZE,System,"Move /MovementControls/ to build up momentum on this trapeze, then press /AButton/ to jump!",
CAZJ004TO,CAZJ,System,/AButton/ Select Bunk,
CAZJ005TO,CAZJ,System,/AButton/ Overwrite Profile,
CAZJ006TO,CAZJ,System,Delete Profile,
GLZG041TO,GLZG,System,/BButton/ Exit,
CAZF004TO,CAZF,System,"To change your camera preferences, press /StartButton/ to open your JOURNAL, and select OPTIONS from the first page.",
CAZF006TO,CAZF,System,"This DOWSING ROD can be used to find deeper, more valuable PSITANIUM ARROWHEADS. Equip the DOWSING ROD and watch and listen to its changing color and sound. This is how it lets you know that you are getting closer to a DEEP ARROWHEAD.",
