identifier,labels,context,source_phase,translation
GLZA053TO,GLZA,System,/AButton/ Yes.,
GLZA054TO,GLZA,System,/AButton/ No.,
GLZD286TO,GLZD,System,"Use /MovementControls/ and then press /BlackButton/,  /WhiteButton/, or /RightFlipper/ to map the selected power to that button.",
GLZD287TO,GLZD,System,"To pull out an item from your backpack, point to it with /MovementControls/ and then press /AButton/. To return it to your backpack later, press /BButton/.",
GLZD351TO,GLZD,System,Please reconnect the controller to controller port,
GLZD321TO,GLZD,System,Drag /FullMouse/ or use Right /Joystick/ TO NAVIGATE.,
GLZD335TO,GLZD,System,/AButton/ LOAD,
GLZD336TO,GLZD,System,/XButton/ DELETE,
GLZD338TO,GLZD,System,/AButton/ SAVE,
GLZD347TO,GLZD,System,"You don't have enough free space to save this profile.
Press /Abutton/ to continue without saving or /Bbutton/ to free more space.",
GLZD348TO,GLZD,System,"You don't have enough free space to save games.
Press /Abutton/ to continue without saving or /Bbutton/ to free more space.",
GLZD356TO,GLZD,System,/MovementControls/ to SCROLL.,
GLZD358TO,GLZD,System,/BButton/ BACK,
GLZD434TO,GLZD,System,Saving preferences.,
GLZD435TO,GLZD,System,Saving AUTOSAVE: POINT OF NO RETURN.,
GLZD507TO,GLZD,System,Saving game.,
GLZD560TO,GLZD,System,Please free,
GLZD561TO,GLZD,System,more space.,
GLZD573TO,GLZD,System,Why aren't you pressing /AButton/ ???,
GLZD587TO,GLZD,System,Saving autosave.,
GLZE005TO,GLZE,System,Use /MovementControls/ to aim your toss.,
GLZG041TO,GLZG,System,/BButton/ Exit,
GLZE015TO,GLZE,System,Control speed with /MovementControls/ or use it to change rails when jumping.,
GLZG018TO,GLZG,System,Use /MovementControls/ or /FullMouse/ to navigate the Journal.,
GLZJ000TO,GLZJ,System,Press /AButton/ to begin.,
GLZD288TO,GLZD,System,You have too many items to fit on one page! Use /DPadRight/ to see the rest of your items.,
GLZD551TO,GLZD,System,/AButton/ Select,
GLZG036TO,GLZG,System,"Raz has stowed the item in his backpack. To see what's in Raz's backpack, and what merit badges he has, press the /DPadLeft/ button.",
GLPC000TO,GLPC,System,Move Forward,
GLPC001TO,GLPC,System,Move Backward,
GLPC002TO,GLPC,System,Move Left,
GLPC003TO,GLPC,System,Move Right,
GLPC004TO,GLPC,System,Jump,
GLPC005TO,GLPC,System,Attack,
GLPC006TO,GLPC,System,Use,
GLPC007TO,GLPC,System,Cancel,
GLPC008TO,GLPC,System,LockOn/Float,
GLPC009TO,GLPC,System,PSI Power1,
GLPC010TO,GLPC,System,PSI Power2,
GLPC011TO,GLPC,System,PSI Power3,
GLPC012TO,GLPC,System,Inventory Menu,
