identifier,file,character,source,translation
ASCL001RA,LL_StringTable.csv,Raz,Hey it works!,
ASCL002RA,LL_StringTable.csv,Raz,"What's up, Linda?",
ASCL003RA,LL_StringTable.csv,Raz,I don't suppose I could just ride on top this time?,
ASCL004RA,LL_StringTable.csv,Raz,"You know, I'm not getting any more used to this.",
ASCL005RA,LL_StringTable.csv,Raz,"You haven't been eating algae again, have you?",
ASCL006LF,LL_StringTable.csv,Linda,"Prepare yourself for passage, human child.",
ASCL007RA,LL_StringTable.csv,Raz,Ya--,
LLBF001RA,LL_StringTable.csv,Raz,"Okay, cough up the girl and no one gets hurt, fish!",
LLBF002LF,LL_StringTable.csv,Linda,Rrrrrrrrroooooooooaaaahhhhh!,
LLBF003RA,LL_StringTable.csv,Raz,"Man, it's gonna be hard to find a new place to give you lumps.",
LLLV001LF,LL_StringTable.csv,Linda,Human child.,
LLLV002RA,LL_StringTable.csv,Raz,Wha--who is that?,
LLLV003LF,LL_StringTable.csv,Linda,"It is I, the creature whose spirit was once--",
LLLV004LF,LL_StringTable.csv,Linda,"Um, over here. Behind you? Yes.",
LLLV005RA,LL_StringTable.csv,Raz,Oh.,
LLLV006LF,LL_StringTable.csv,Linda,The creature whose spirit was once enslaved by the evil one.,
LLLV007LF,LL_StringTable.csv,Linda,"You have unchained my soul, and now I shall repay you, powerful human child!",
LLLV008RA,LL_StringTable.csv,Raz,"Oh, uh... great! Well okay, show me what you did to my friend Lili!",
LLLV009LF,LL_StringTable.csv,Linda,"By the drowned spirit of Oblongata, it is done!",
LLLV010RA,LL_StringTable.csv,Raz,Ah--,
LLAA000RA,LL_StringTable.csv,Raz,"Man, that must be full of sharp nails. Hate to swallow that!",
LLAA001RA,LL_StringTable.csv,Raz,"""Shaky Claim Day Care Center.""",
LLAA002RA,LL_StringTable.csv,Raz,"Wow, this must have been a pretty advanced ghost town down here if they had lawn gnomes.",
LLAA003RA,LL_StringTable.csv,Raz,"Hey, that helmet got spit at me in the Brain Tumbler vision!",
LLAA004RA,LL_StringTable.csv,Raz,I must have been fighting the Coach's idea of this monster.,
LLAA005RA,LL_StringTable.csv,Raz,"I mean, Linda.",
LLAA006RA,LL_StringTable.csv,Raz,"Ooh, I wonder if I can find out what happened on that western I was watching. ",
LLAA007RA,LL_StringTable.csv,Raz,"Poor, gross little sucker fish! It can't breathe! I should kill it.",
LLAA008RA,LL_StringTable.csv,Raz,"Hey, I think I see a piece of teriyaki salmon jerky over there in that clam. Why don't you go eat that instead?",
LLAA009RA,LL_StringTable.csv,Raz,This freshwater lake coral is so pretty I just want to smash it.,
LLAA010RA,LL_StringTable.csv,Raz,The creature's prints are still glowing! This must be where he brought Lili!,
LLAB000FO,LL_StringTable.csv,Ford,"Ah, poor little thing.",
LLAB001RA,LL_StringTable.csv,Raz,"That ""poor little thing"" just tried to kill me about eight different ways.",
LLAB002FO,LL_StringTable.csv,Ford,"Well, that's not its fault.",
LLAB003FO,LL_StringTable.csv,Ford,"This was once just a normal-sized lungfish, minding its own business in a mucus-lined air bubble beneath a semi-dry lake bed.",
LLAB004FO,LL_StringTable.csv,Ford,"But judging by the work done on it, I suspect Morry has mutated it, accelerated its growth, and has placed an implant in its brain to make it do his evil bidding.",
LLAB005RA,LL_StringTable.csv,Raz,Whoa. Poor little thing.,
LLAB006FO,LL_StringTable.csv,Ford,Yeah. Go inside there and try to smash the implant! Use the Psycho-Portal I saw you steal from Sasha's lab.,
LLAB007RA,LL_StringTable.csv,Raz,"Oh, uh, yeah. That works on big, scary monsters?",
LLAB008FO,LL_StringTable.csv,Ford,"Oh, monster-schmonster! That thing is more afraid of you than you are of it! ",
LLAB009FO,LL_StringTable.csv,Ford,Now git in there!,
LLAC000LF,LL_StringTable.csv,Linda,Please... my home is your home.,
LLAC001LF,LL_StringTable.csv,Linda,I think I have some Teriyaki Salmon Jerky in one of these mud holes around here...,
LLAC002RA,LL_StringTable.csv,Raz,"No, that's cool. Why don't you just relax. I'd like to poke around.",
LLAC003LF,LL_StringTable.csv,Linda,"As you wish, human child.",
LLAC004RA,LL_StringTable.csv,Raz,"Hey, Linda?",
LLAC005LF,LL_StringTable.csv,Linda,Yes.,
LLAC006RA,LL_StringTable.csv,Raz,Could you take me back to camp now?,
LLAC007RA,LL_StringTable.csv,Raz,Could you take me back to the Asylum?,
LLAC008RA,LL_StringTable.csv,Raz,Nothing. I just wanted to make sure you're not dead.,
LLAC009LF,LL_StringTable.csv,Linda,As you wish.,
LLAD001RA,LL_StringTable.csv,Raz,Sorry. False alarm.,
LLAD002LF,LL_StringTable.csv,Linda,(Sigh.),
LLAD003RA,LL_StringTable.csv,Raz,"Thanks, Linda!",
LLAD004LF,LL_StringTable.csv,Linda,Um-hm.,
LLZF000TO,LL_StringTable.csv,System,Punch coral to break it.,
LLZZ000TO,LL_StringTable.csv,System,Shakey Claim Nail Factory,
