identifier,file,character,source,translation
MCAB001RA,MC_StringTable.csv,Raz,Coach Oleander?,
MCAB003OL,MC_StringTable.csv,Oly,He runs a butcher shop. He wants to make food out of them.,
MCAB004FO,MC_StringTable.csv,Ford,That's right. Morry's old man was a butcher! It looks like your childhood memories of the circus got all mixed up with his childhood memories of his dad's butcher shop.,
MCAB005RA,MC_StringTable.csv,Raz,My memories were bad enough. This is just gross.,
MCAB006RA,MC_StringTable.csv,Raz,Uh oh.,
MCAB007FO,MC_StringTable.csv,Ford,You'd better keep that kid out of trouble.,
MCAB008FO,MC_StringTable.csv,Ford,"With your brains all scrambled like this, what happens to him, happens to you!",
MCAB009OL,MC_StringTable.csv,Oly,Ahhh! Help!,
MCAC002OL,MC_StringTable.csv,Oly,"Come here, little bunny!",
MCAC005OL,MC_StringTable.csv,Oly,Don't run or else Daddy's gonna kill you.,
MCAC006OL,MC_StringTable.csv,Oly,Buuuuuunnnneeeeee!,
MCAC007OL,MC_StringTable.csv,Oly,Bun-bun-bun!,
MCAC008OL,MC_StringTable.csv,Oly,"Please, Mr. Bun!",
MCBI004RA,MC_StringTable.csv,Raz,"Hey, hey. Little Oly!",
MCBI005RA,MC_StringTable.csv,Raz,"It's okay, those monsters are gone now.",
MCBI009RA,MC_StringTable.csv,Raz,Who's coming?,
MCBI011RA,MC_StringTable.csv,Raz,Your dad... the butcher?,
MCBI012OL,MC_StringTable.csv,Oly,He says little bunnies are good for nothing.,
MCBI013OL,MC_StringTable.csv,Oly,Nothing but food!,
MCBI015OL,MC_StringTable.csv,Oly,Ahhhhhhhhhhhh!,
MCBI016BU,MC_StringTable.csv,Butcher,DON'T RUN OR ELSE DADDY'S GONNA KILL YA!!!,
MCAE000BU,MC_StringTable.csv,Butcher,"Here bunny, bunny, bunny!",
MCAE002BU,MC_StringTable.csv,Butcher,I'm not gonna hurt you!,
MCAE003BU,MC_StringTable.csv,Butcher,COME HERE BUNNY!,
MCAE004BU,MC_StringTable.csv,Butcher,Don't run or else Daddy's gonna kill ya!,
MCAE008BU,MC_StringTable.csv,Butcher,Ah-ha-ha-ha!,
MCAJ006EV,MC_StringTable.csv,Evil,Rrrarggrmble-grmble!,
MCAJ007EV,MC_StringTable.csv,Evil,What's going on here? What have you done to our circus?,
MCAJ008RA,MC_StringTable.csv,Raz,Dad!,
MCAJ009EV,MC_StringTable.csv,Evil,Polluted! Perverted! This looks like the work of MENTALISTS!,
MCAJ010RA,MC_StringTable.csv,Raz,I can explain!,
MCAJ011EV,MC_StringTable.csv,Evil,Have you been associating with PSYCHICS?,
MCAJ012RA,MC_StringTable.csv,Raz,"Dad, I--",
MCAJ013EV,MC_StringTable.csv,Evil,Psychics! Fortune tellers! They killed your grandfather! They cursed our entire family to die in water!,
MCAJ014RA,MC_StringTable.csv,Raz,"Yes, but--",
MCAJ015EV,MC_StringTable.csv,Evil,"Including you, Razputin, and me. But I'm going to live, you know why? Because I'm still an acrobat. ",
MCAJ016EV,MC_StringTable.csv,Evil,Let's see if you are!,
MCAK000EV,MC_StringTable.csv,Evil,"What's it going to be, son? Die in the water? Or show me what you got?",
MCAL001EV,MC_StringTable.csv,Evil,Let's see if you remember your training!,
MCAL002EV,MC_StringTable.csv,Evil,Quick! Up here! Before the cold clammy hand of fear pulls you under!,
MCAL003EV,MC_StringTable.csv,Evil,Razputin!,
MCAL004EV,MC_StringTable.csv,Evil,Up here!,
MCAL007EV,MC_StringTable.csv,Evil,Maybe if you spent more time practicing your acrobatics and less time reading those comic books you'd be up here by now!,
MCAL009EV,MC_StringTable.csv,Evil,Finally!,
MCAL011EV,MC_StringTable.csv,Evil,Mmm. Pretty good. BUT NOT GOOD ENOUGH.,
MCAL013EV,MC_StringTable.csv,Evil,"Hey, son. Catch!",
MCAL016EV,MC_StringTable.csv,Evil,Think fast!,
MCAL017EV,MC_StringTable.csv,Evil,Here you go!,
MCAL018EV,MC_StringTable.csv,Evil,You used to LIKE to play catch with me!,
MCAL019EV,MC_StringTable.csv,Evil,Incoming!,
