identifier,labels,context,source,translation
CAQZ037CH,CAQZ,Chloe,Ooof!,
CAQZ038CH,CAQZ,Chloe,Ak!,
CAQZ039CH,CAQZ,Chloe,Ug!,
CAQZ040CH,CAQZ,Chloe,Ay!,
CAQZ041CH,CAQZ,Chloe,Ow!,
MIDD001DN,MIDD,Female-Dancer,Wooo!,
MIDD002DN,MIDD,Female-Dancer,Hoo hoo!,
MIDD003DN,MIDD,Female-Dancer,"Yeah, baby!",
MIDD004DN,MIDD,Female-Dancer,What's up?,
MIDD005DN,MIDD,Female-Dancer,"Come on! Dance, baby!",
MIDD006DN,MIDD,Female-Dancer,Alright...,
MIDD008DN,MIDD,Female-Dancer,Hey!,
MIDD010DN,MIDD,Female-Dancer,Jerk!,
MIDD011DN,MIDD,Female-Dancer,Total buzzkill.,
MIDD012DN,MIDD,Female-Dancer,"Man, the bouncers here suck.",
MIDD013DN,MIDD,Female-Dancer,"Hey, this ain't the mosh pit, frat boy!",
MIDD014DN,MIDD,Female-Dancer,Oh no you DIDN'T just try to touch me while I'm dancing.,
MIDD015DN,MIDD,Female-Dancer,I know you didn't just do that.,
MIDD016DN,MIDD,Female-Dancer,"My advice to you is back up about ten feet, right now.",
MIDD017DN,MIDD,Female-Dancer,I am not responsible for what's about to happen otherwise.,
MIDD018DN,MIDD,Female-Dancer,"Hey, what are you doing? I was in the middle of something serious there.",
MIDD019DN,MIDD,Female-Dancer,"Hey, if I want to fly, I'll fly.",
MIDD020DN,MIDD,Female-Dancer,I don't need any help.,
MIDD021DN,MIDD,Female-Dancer,"Hey, thanks. I did NOT want to dance with that... whatever that was.",
MIDD022DN,MIDD,Female-Dancer,Ahhh! What was that?,
MIDD023DN,MIDD,Female-Dancer,Huh?,
MIDD024DN,MIDD,Female-Dancer,Aaaiiiiieeeeee!,
MIDD026DN,MIDD,Female-Dancer,Ah! Wha--,
MIDD027DN,MIDD,Female-Dancer,Wahhhh!,
MINO002MI,MINO,Milla,Let's go!,
MINO003MI,MINO,Milla,Bounce baby!,
MINO004MI,MINO,Milla,Up! Up! Up!,
MINO005MI,MINO,Milla,"Come on, darling!",
MINO006MI,MINO,Milla,I think this party is going pretty well.,
MINO007MI,MINO,Milla,I wonder if everybody's having fun.,
MINO008MI,MINO,Milla,Oh I love this part!,
MINO009MI,MINO,Milla,Turn it up!,
MINO010MI,MINO,Milla,Yeah!,
MINO011MI,MINO,Milla,Woo-hoo!,
MINO012MI,MINO,Milla,Mmmm-hmmm.,
MINO013MI,MINO,Milla,Chh-ch-ch-ch ch ch ch...,
MINO015MI,MINO,Milla,Smile everyone!,
MINO016MI,MINO,Milla,I hope the kids are having a good time.,
MINO017MI,MINO,Milla,Mmm... onion dip!,
MINO018MI,MINO,Milla,It's so nice to be working with children again.,
MINO019MI,MINO,Milla,Oh how I love the little children.,
MINO020MI,MINO,Milla,Look at the little angels.,
MINO021MI,MINO,Milla,So sweet.,
MINO022MI,MINO,Milla,Nice.,
MINO023MI,MINO,Milla,Mmmm.,
MINO024MI,MINO,Milla,"Keep it loose, kids.",
MINO025MI,MINO,Milla,You're doing great!,
MINO026MI,MINO,Milla,"Oh, you're such great dancer, baby!",
MINO027MI,MINO,Milla,"Let's see those happy faces, kids!",
MINO028MI,MINO,Milla,Ahhh.,
MINO029MI,MINO,Milla,Sasha...,
MINO030MI,MINO,Milla,I don't care! I don't care who's looking!,
MINO031MI,MINO,Milla,Achhh!,
MINO032MI,MINO,Milla,No frowning on the dance floor!,
MINO033MI,MINO,Milla,I wonder how long I can keep this up?,
MINO034MI,MINO,Milla,My feet are killing me.,
MINO035MI,MINO,Milla,...can't stop dancing...,
MINO036MI,MINO,Milla,Who's going to adopt these poor children?,
MINO037MI,MINO,Milla,"Hey, what's that smoke over the village?",
MINO038MI,MINO,Milla,Ohhhhh!,
MINO039MI,MINO,Milla,Ahh! The orphanage! It's on fire!,
MINO040MI,MINO,Milla,"Oh, no!",
MINO041MI,MINO,Milla,The children! Some one save the children!,
MINO042MI,MINO,Milla,Please! Some one help!,
MINO043MI,MINO,Milla,Oh god no!,
MINO044MI,MINO,Milla,The babies!,
MINO045MI,MINO,Milla,I can hear them!,
MINO046MI,MINO,Milla,Can't you hear them!,
MINO047MI,MINO,Milla,They're screaming!,
MINO048MI,MINO,Milla,They're frightened!,
MINO049MI,MINO,Milla,"Don't cry, my darlings!",
MINO050MI,MINO,Milla,Please stop crying!,
MINO051MI,MINO,Milla,Pleeeease!,
MINO052MI,MINO,Milla,(crying),
MITU001MI,MITU,Milla,Look who made the scene!,
MITU002RA,MITU,Raz,Agent Vodello? Where are you?,
MITU003MI,MITU,Milla,On TV of course! Where I was always meant to be!,
MITU004MI,MITU,Milla,"I mean look at my hair, darling. How can hair this fabulous not be on TV?",
MITU005MI,MITU,Milla,"Now show me, baby. What's on your mind?",
MITU006MI,MITU,Milla,"Come on, darling.",
MITU007MI,MITU,Milla,Don't be afraid.,
MITU008MI,MITU,Milla,Show me what's going on in that cute little head.,
MITU009MI,MITU,Milla,I would never tell.,
MITU010MI,MITU,Milla,"Oh, so cute!",
MITU012MI,MITU,Milla,"Well, I'm gonna give you another one to think about.",
MITU013MI,MITU,Milla,"This is just a learner's permit, mind you. It only works when you're at my party.",
MITU014MI,MITU,Milla,"Focus on it, Razputin, and let's get hopping.",
MITU015MI,MITU,Milla,"Now, honey. I said Levitation.",
MITU016MI,MITU,Milla,"No, not that one.",
MITU017MI,MITU,Milla,No.,
MITU019MI,MITU,Milla,That one!,
MITU021MI,MITU,Milla,Try it.,
MITU022MI,MITU,Milla,Great!,
MITU023MI,MITU,Milla,Now try to add a little bounce to it!,
MITU024MI,MITU,Milla,Go on!,
MITU026MI,MITU,Milla,Bounce for Mamma!,
MITU027MI,MITU,Milla,There you go!,
MITU028MI,MITU,Milla,Want to take it higher? Try bouncing when you're already bouncing!,
MITU029MI,MITU,Milla,I call it the double bubble bounce.,
MITU030MI,MITU,Milla,"Come on. Don't settle for just one bounce, darling.",
MITU031MI,MITU,Milla,Ooooh! You got it!,
MITU032MI,MITU,Milla,"Okay, now, just between you and me, this end of the party is dead.",
MITU033MI,MITU,Milla,Come find me on the other side of the party and I'll give you that merit badge for real.,
MITU034MI,MITU,Milla,"Never keep a girl waiting long, young man!",
MITU035MI,MITU,Milla,(Kiss.),
MITU036MI,MITU,Milla,You know Levitation gives you a little lift even when you're doing a regular jump.,
MITU037MI,MITU,Milla,Try it! Jump up and then jump again when in the air!,
