"Identifier","Context","Source string","Translation"
"BVAP002BZ","Bobby","End of the line, Sucka!",""
"BVAP004BZ","Bobby","Heh heh heh heh!",""
"BVCO075CL","Collie","Now then, you will, of course, want something else.",""
"BVMI003MA","Matador","If you need another dose of confusion, go take it from my pet.",""
"BVMO002RA","Raz","Ohhh no--I want the power of confusion.",""
"BVMO004MA","Matador","One power of confusion. Autographed.",""
"BVMP004RA","Raz","I need you to give me the power of confusion so I can get my merit badge signed.",""
"BVMP006RA","Raz","Okay look, if I can get the billboard painted, will you give me your power of confusion?",""
"BVMP012MA","Matador","Kid, if you get that sign finished, I'll give you whatever you want. My pet over there has something that might make the dog more open to suggestion.",""
"BVST060SB","St.Bernard","Heck! Alright then!",""
"BVWT005SB","St.Bernard","Ooof!",""
"BVAL001RAb","RAb","OW!",""
"BVAM004BD","Bulldog","His apartment's right upstairs.  While you're there, maybe you can convince him to take care of the bull.",""
"BVAO000RA","Raz","I need you to give me the power of confusion so I can get my Power Badge signed.",""
