"Identifier","Context","Source string","Translation"
"CACA001RA","Raz","Okay now, just relax...",""
"CACA002RA","Raz","Trust me.",""
"CACA003RA","Raz","I can read minds.",""
"CACA004RA","Raz","This is going to be fun...",""
"CACA005RA","Raz","Now, concentrate..",""
"CACA006RA","Raz","Focus...",""
"CACA007RA","Raz","Help me out here...",""
"CACA008RA","Raz","Come on... Come on...",""
"CACA009RA","Raz","There's got to be a brain in here somewhere.",""
"CACA010RA","Raz","Wait! Okay!",""
"CACA011RA","Raz","I'm tasting... (smack, smack, smack)...mmmm.",""
"CACA012RA","Raz","...cough syrup. Have you been drinking cough syrup?",""
"CACA013RA","Raz","Ahhh, nuts!",""
"CACA014RA","Raz","Wait! Why did I say Nuts just then?",""
"CACA015RA","Raz","Unless I got that from the squirrel!",""
"CACA016RA","Raz","Maybe if I could just--",""
"CACA017MI","Milla","The only thing you are going to get from that squirrel is rabies, Darling.",""
"CACA018RA","Raz","Huh!  It's Camilla Fossen! The Mental Minx!",""
"CACA019RA","Raz","I--I was just practicing! It volunteered!",""
"CACA020MI","Milla","Well, I've got a volunteer of my own up here. She doesn't have a tail, but the nightmares she's having are pretty hairy. Ooh, I made a joke!",""
"CACA021MI","Milla","Anyway, if you help me find out what's causing them, there might be a psychic merit badge in it for you.",""
"CACA022RA","Raz","A psychic merit badge!",""
"CACA023MI","Milla","But you've got to scamper on up here before she wakes up, okay? Hurry, Darling!",""
"CACA024RA","Raz","Right! Okay! I'll be right there! Keep that nightmare alive!",""
"CACA025MI","Milla","Yoo-hoo. Up here!",""
"CACA026MI","Milla","Hurry up, little one!",""
"CACA027MI","Milla","Come along! I'm waiting.",""
"CACA028MI","Milla","Darling, only bark hangs around on trees all day.",""
"CACA029MI","Milla","I hope you're not waiting for me to let down my hair.",""
"CACA030MI","Milla","Did that squirrel teach you nothing of climbing trees?",""
"CACA031MI","Milla","Our subject is soon to wake up, darling, and then we're out of luck.",""
"CACA032MI","Milla","Have you no passion for this merit badge?",""
"CACA033MI","Milla","Excellent! You have made it.",""
"CACA034MI","Milla","The patient, I believe you know her?",""
"CACA035RA","Raz","Anna?",""
