"Identifier","Context","Source string","Translation"
"LOAB101Z1","Zealots-1","Goggalor--we want to help!!!! let us know when you destroy that fighter squadron!!!!",""
"LOAB102RA","Raz","Fighter squadron?",""
"LOAB104Z1","Zealots-1","Good work, goggalor!!!! what next?",""
"LOAB001RA","Raz","Hey, let's take out that shield wall.",""
"LOAB002Z1","Zealots-1","Good plan, goggalor!!!! but it's so big and i'm so puny!!!!",""
"LOAB003RA","Raz","No, you're exactly the right size. i just did this exact same thing. i think it was even on tv!!!! you take care of the controls and i'll make sure you don't get fried.",""
"LOAB004Z1","Zealots-1","Really? okay, goggalor!!!! i'll hack the fence. just keep that saser off my back.",""
"LOAB006RA","Raz","Hey, what's a saser?",""
"LOAB008RA","Raz","Hey, i had this plan to disable the laser fence but--",""
"LOAB009Z1","Zealots-1","Great plan, goggalor!!!! i'll hack the fence, you keep that saser off my back!!!! freedom!!!!",""
"LOAB010RA","Raz","Hurry up with that fence!!!!",""
"LOAB011Z1","Zealots-1","Roger goggalor!!!! just keep me shielded from that evil beam!!!!",""
"LOAB012Z1","Zealots-1","Yeah i did it!!!!",""
"LOAB013Z1","Zealots-1","We did it goggalor",""
"LOAB106Z1","Zealots-1","Goggalor, the saser's coming!!!! i know you've got me covered, so i'll keep working!!!!",""
"LOAB108Z1","Zealots-1","I can finish the job my comrade started, goggalor!!!!",""
"LOAB110Z1","Zealots-1","My turn!!!!",""
"LOAB111Z1","Zealots-1","For my fallen comrades!!!!",""
"LOAB112Z1","Zealots-1","Victory!!!!",""
"LOAB113Z1","Zealots-1","We must execute goggalor's plan!!!!",""
"LOAC016RA","Raz","I realize we've had some logistical and death problems with my hacking-the-fence-plans, but i know how to protect you guys from the saser now!!!!",""
"LOAC017Z1","Zealots-1","Goggalor--the good news is we've managed to override and commandeer the saser controls. we can aim it at anything we want.",""
"LOAC018RA","Raz","That's great!!!! what's the bad news?",""
"LOAC019Z1","Zealots-1","There is no bad news goggalor... there is some barely worth mentioning less good news, though.",""
"LOAC020Z2","Zealots-2","We kind of locked ourselves out of the fence control circuit. permanently.",""
"LOAC021RA","Raz","So what's good about that?",""
"LOAC022Z1","Zealots-1","The good part is that goggalor is here!!!! and he'll use his gigantic brain to figure out what we should blow up with the sasser!!!!",""
"LOWI001NC","NC","The police department has mobilized a previously unknown tank corps to combat the ocean creature known as goggalor, who, after freeing his or her gang from prison, now appears to be nothing more than an enormous criminal.",""
"LOWI004NC","NC","Monster crime boss goggalor appears to be immune to bullets launched from the ground.  police officials are progressing to plan b--bullets fired from the air.",""
"LOWI005NC","NC","In response to what officials are describing as an ""unfounded"" public hysteria over the goggalor giant monster rampage, the police department has deployed a fleet of trucks to shoot electric beams at the towering felon.",""
"LOWI006NC","NC","Police officials have used blimp parts and equipment salvaged from the city's growing supply of smashed electric beam trucks to create a fleet of armored airships, dubbed the 'iron lung'.",""
"LOWI007NC","NC","The police have unveiled an orbital platform designed to fire laser beams at monsters and other criminals.  officials remind citizens to obey the law,stay calm, and run in an orderly fashion towards anything big enough to hide behind.",""
"LOZK001Z1","Zealots-1","Uh oh...",""
"LOZK003Z1","Zealots-1","Huh? nothing... uh oh.",""
"LOZK005Z1","Zealots-1","What? uh oh...",""
"LOZK006RA","Raz","*what*?",""
"LOZK007Z1","Zealots-1","Goggalor, are you asking me about the first time i said 'uh oh' or the third time. or the second time?",""
"LOZK008RA","Raz","Just start talking.",""
"LOZK009Z1","Zealots-1","We've lost control of the satellite. and i figured out what's jamming our signal. and you're gonna have to destroy it.",""
"LOZK010RA","Raz","No problem. just point me at it. is it that truck?",""
"LOZK011Z1","Zealots-1","That's it.",""
"LOZK012RA","Raz","Uh oh.",""
"LOZK013Z2","Zealots-2","Goggalor--just fight kochamara until he's weak!!!! i have a plan!!!! i'll be back!!!!",""
"LOZL014Z1","Zealots-1","You did it goggalor!!!! kochamara's weakened enough that we've regained control of the satellite!!!! now use it to stop him!!!!",""
"LOZL015RA","Raz","Hey kid, this isn't a safe place to trick-or-treat.",""
"LOZL016Z2","Zealots-2","Goggalor, it's me!!!! the guy with the plan!!!! i'm going to distract kochamara. legend has it that his one weakness is--",""
"LOZL017CO","Coach","Leave...that... rabbit... alone!!!!",""
"LOZL018CO","Coach","Bunny, stay low, keep quiet, and don't be afraid. daddy's here.",""
"LOZL019Z2","Zealots-2","Whoa, goggalor, what're you doing?",""
"LOZL020Z2","Zealots-2","Whoa, goggalor, it's me!!!! i'm not actually a rabbit.",""
"LOZL021CO","Coach","Nooooooooooo!!!!",""
"LOZL022Z1","Zealots-1","Kochamara is dead!!!! freedom!!!!",""
"LOZL023Z2","Zealots-2","He tried to save me...",""
"LOZI042Z2","Zealots-2","Man. if i were him, i'd use his new shield power.",""
"LOZI043Z1","Zealots-1","Shhh!!!! goggalor will hear you, with his enormous ears!!!!",""
"LOZI045Z2","Zealots-2","Goggalor!!!! try your shield power!!!!",""
"LOZI046Z1","Zealots-1","Yeah, it's just a suggestion!!!!",""
"LOZI047Z2","Zealots-2","To reflect the wall`s destructive countermeasures, goggalor.",""
"LOZI049Z1","Zealots-1","Shield!!!!",""
"LOZI051Z3","Zealots-3","Use the shield!!!!",""
"LOZI053RA","Raz","Hey why aren`t you guys helping me find my friend anna?",""
"LOZI054Z1","Zealots-1","We are waiting for you to take down that shield wall, goggalor!!!!",""
"LOZI055Z2","Zealots-2","Right!!!! with your shield power!!!!",""
"LOZI056Z1","Zealots-1","Or what ever you think is best, great goggalor!!!!",""
"LOAB114RA","Raz","Huh. and here i thought the little guys couldn't do the shield thing...",""
