"Identifier","Context","Source string","Translation"
"NINI001MI","Milla","You're in, Darling! You're in her mind!",""
"NINI002MI","Milla","Tell me, what do you see?",""
"NINI003RA","Raz","I see a small, bunny-like animal thing.",""
"NINI004MI","Milla","Superb. I believe that bunny is the key to this whole nightmare.",""
"NINI005MI","Milla","Follow it, and it should lead you straight to the heart of the problem.",""
"NINI006RA","Raz","Check!",""
"NINI007RA","Raz","Okay, Mr. Bun. You and I are going to be tight.",""
"NINI008RA","Raz","Where ever you go, I go. Like two peas in a--",""
"NINI009RA","Raz","Hey! Come back here!",""
"NINI010RA","Raz","Wait for me!",""
"NINI011RA","Raz","I don't think I'm gonna hurt you!",""
"NINI012MI","Milla","Careful, sweetheart. Those thorn bushes are NOT a good time, trust me.",""
"NINI013MI","Milla","Watch out!",""
"NINI014MI","Milla","Those censors want nothing but to destroy what doesn't belong!",""
"NINI015MI","Milla","That means you, darling!",""
"NINI016MI","Milla","Have you tried Telekinesis yet, my love?",""
"NINI017MI","Milla","Invisibility might work, love.",""
"NINI018MI","Milla","Get on your bubble, Darling, but try not to get it popped!",""
"NINI019MI","Milla","I am firmly against children playing with fire, but I have to admit, it might just come in handy here.",""
"NINI020MI","Milla","Nice work, Darling!",""
"NINI021MI","Milla","My hero!",""
"NINI022MI","Milla","Well played, my friend.",""
"NINI023MI","Milla","He's big, but I have faith in you young man.",""
"NINI024MI","Milla","Go get him!",""
"NINI025MI","Milla","Get that key and we can free our friend from this horrible nightmare!",""
"NINI026LI","Lili","Hey, somebody get me out of here!",""
"NINI027LI","Lili","Helllp!",""
"NINI028LI","Lili","This sucks.",""
"NINI029LI","Lili","I've pretty much had it with this dream.",""
"NINI030RA","Raz","Okay, I'm here. Nightmares over, baby.",""
"NINI031LI","Lili","Really? So you already beat up that lungfish and ripped the key out of it's dead body?",""
"NINI032RA","Raz","Uh. Yeah. Well, mostly. I mean, it's on my list. I mean--",""
"NINI033LI","Lili","You'll be right back.",""
"NINI034RA","Raz","In, like, two seconds.",""
"NINI035LI","Lili","Okay, I'm up here rooting for you.",""
"NINI036RA","Raz","One monster-guts-coverd key, coming up!",""
"NINI037LI","Lili","Great! You got the key from the Hulking Lungfish?",""
"NINI038RA","Raz","Oh, right. THAT'S what I was supposed to do!",""
"NINI039LI","Lili","(sigh)",""
"NINI040RA","Raz","Yeah, I'm pretty cool.",""
"NINI041LI","Lili","I liked the part where he screamed and burned.",""
"NINI042LI","Lili","I'll say. Even though you do smell like overcooked fish.",""
"NINI043RA","Raz","Just doing my job, ma'am.",""
"NINI044MI","Milla","Great work, Darling!",""
"NINI045RA","Raz","Do I get to be a Psychonaut now?",""
"NINI046MI","Milla","Well, you are now one merit badge closer, but there is still much to do.",""
"NINI047RA","Raz","I'm ready! I'm ready!",""
"NINI048MI","Milla","Okay, here you go.",""
"NINI049LI","Lili","You only saved me to get a merit badge?",""
"NINI050RA","Raz","Uh, no. I mean, sort--well, not really, but--you'd, you'd understand.  I mean, Double Fine!",""
"NINI051RA","Raz","(falling sound)",""
"NIAB012RA","Raz","Meaning that I could just lift it up, or flip it over, or something.",""
"NIAB013RA","Raz","Maybe with a levitation popper. For instance.",""
