id,character,origin_dialogue,translated_dialogue
SACO001RA,Raz,"Oh, yeah. Come to poppa!",
SACO002SA,Sasha,"Raz, what have you done? This is not control! This is chaos!",
SACO003SA,Sasha,I'll try to fix it. You stay here and keep their numbers under control.,
SAFB004SA,Sasha,This is a censor.,
SAIN001SA,Sasha,Welcome to my mind.,
SAIN002RA,Raz,Huh. It's so empty.,
SAIN003RA,Raz,"Uh, I mean--",
SAIN004SA,Sasha,"There's more here than meets the eye, but I've learned to keep it under strict control.",
SAIN005SA,Sasha,And that's what I'm going to teach you: control.,
SAIN006SA,Sasha,"Your feelings, your fears, your anger. You must learn to control them, focus them, concentrate them, and release them.",
SAIN007RA,Raz,As therapy?,
SAIN008SA,Sasha,"No, as firepower!",
SAIN009SA,Sasha,Say something hideous and horrible jumps out at you. Something so disgusting that it simply must die.,
SAIN010SA,Sasha,"Ahhh, oh, so tacky... I can't... look... directly at it!",
SAIN011SA,Sasha,"But I control those feelings, focus them, concentrate, and",
SAIN012SA,Sasha,release!,
SAIN013SA,Sasha,And the world is a better place.,
SAIN014SA,Sasha,Your turn.,
SAIN015RA,Raz,Okay...,
SAIN016RA,Raz,Hggfgg!  Gahhh!,
SAIN017SA,Sasha,Excellent. A victory for good taste.,
SAIN018SA,Sasha,"Now, you must strive for precision when targeting. Say you were set upon by multiple attackers.",
SAIN019SA,Sasha,Eh.,
SAIN020SA,Sasha,Yecch.,
SAIN021SA,Sasha,Bleh.,
SAIN022SA,Sasha,But you need to dispense with them in a certain order. Eliminate these monsters in the proper sequence and we can move on to the next lesson.,
SAMC001SA,Sasha,"Young man, I hope you've learned a lesson here today.",
SAMC002RA,Raz,Yes I have.,
SAMC003RA,Raz,That shooting things is fun and useful.,
SAMC004SA,Sasha,"No, that once you lose control of your own mind, it's very hard to get it back!",
SAMC005RA,Raz,Yes. One's thoughts must be 100% controlled at all times!,
SAMC006SA,Sasha,"Well, no. Actually, if you try to completely suppress your undesirable feelings, they'll build and build and eventually explode.",
SAMC007RA,Raz,"Oh. So, uh, what would happen if you were to, say, completely block off all your censor outlets?",
SAMC008SA,Sasha,"Well, there would be a buildup of censor energy within, that would... uh eventually",
SAMC009SA,Sasha,"Run, Razputin. Very fast.",
SAMC010SA,Sasha,You are my own creation. I command you to stop!,
SAMC012SA,Sasha,Ahhhhhhh!,
SAMC013SA,Sasha,"Razputin, it's time to earn your merit badge!",
SASE001SA,Sasha,Again.,
SASE002SA,Sasha,Come now. Focus.,
SASE003SA,Sasha,Shoot!,
SASE004SA,Sasha,Repeat.,
SASE005SA,Sasha,What are you waiting for?,
SASE006SA,Sasha,Let's get moving.,
SASE007SA,Sasha,Excellent.,
SASE008SA,Sasha,Control.,
SASE009SA,Sasha,Focus.,
SASE010SA,Sasha,Concentrate.,
SASE011SA,Sasha,Release.,
SASE012SA,Sasha,Try it again.,
SASS001SA,Sasha,Ahhhhh!,
SASS002SA,Sasha,Ach!,
SASS003SA,Sasha,Ai-ai-ai-ai-ai!,
SASS004SA,Sasha,Razputin!,
SASS005SA,Sasha,Oooh-ooh-oooh...,
SASS006SA,Sasha,Peel me off and put me down!,
SASS007SA,Sasha,Enough!,
SASS008SA,Sasha,Oof!,
SASS009SA,Sasha,Uggg!,
SASS010SA,Sasha,Ow!,
SASS011SA,Sasha,Gahhhh!,
SAAB001SA,Sasha,"No, Raz, shoot them in order. Let's try this again.",
SAAC002RA,Raz,This is controlled by that dial over there.,
SAAD003RA,Raz,This is going to take forever. I wonder if I can speed it up somehow.,
SAAD004RA,Raz,I wonder what would happen if I turned that dial up.,
SACD001RA,Raz,"So, is this where I get a speech and learn another lesson?",
SACD002SA,Sasha,No. Here's your merit badge. Let us never speak of this again.,
SAFB001SA,Sasha,Now then...,
SAFB002SA,Sasha,Is this what you saw in your vision?,
SAFB005SA,Sasha,An integral part of any sane person's mind.,
SAFB006SA,Sasha,"The censors roam through your psyche, looking for thoughts that don't belong.",
SAFB007SA,Sasha,"Hallucinations, manias, waking dreams--the censors hunt them down and censor them out.",
SAFB008RA,Raz,Why do they come after me? I'm not a mania!,
SAFB009SA,Sasha,"Yes, but you are a foreign entity in my mind. You technically don't belong here.",
