id,character,origin_dialogue,translated_dialogue
WWAB000FR,Fred,(Sigh.),
WWAB004FR,Fred,(Yawn.),
WWAB005FR,Fred,Ffffffppt. ,
WWAB006RA,Raz,Who's winning?,
WWAB007NP,Napoleon,Nobody's winning! Want to know who's losing? The Bonaparte family name!,
WWAB008FR,Fred,"Look, I forfeit, okay? You win! Napoleon Bonaparte wins again!",
WWAB009RA,Raz,Is that the real Napoleon Bonaparte? I mean the imaginary real Napoleon Bonaparte?,
WWAB010FR,Fred,"Yeah, I'm actually related to him, can you believe it? ",
WWAB011NP,Napoleon,Shut up! Stop telling people that shameful fact!,
WWAB012NP,Napoleon,"I don't even want to be here, but when this sad excuse for a Bonaparte lost a simple game of war to a feeble minded invalid, I just could not take it anymore!",
WWAB013NP,Napoleon,"I was forced to take control, and I will stay in control until I beat the love of victory into this degenerate swine who dares to call himself a Bonaparte!",
WWAB014FR,Fred,"No, really, great great great grandpa Napoleon. I do love victory, like...",
WWAB015FR,Fred,...a ton. I love it so much. You can go now. I swear.,
WWAB016NP,Napoleon,Your move!  ,
WWAB017RA,Raz,Who's winning now?,
WWAB018FR,Fred,Who do ya think?,
WWAC000NP,Napoleon,Hm.,
WWAC001NP,Napoleon,Hmmm.,
WWAC002NP,Napoleon,Hm!,
WWAC003NP,Napoleon,Hm...,
WWAC004NP,Napoleon,Geh!,
WWAC005NP,Napoleon,Hm-hmm.,
WWAC006NP,Napoleon,Hah ha ha.,
WWAD000RA,Raz,"Hey, Fred. The problem is people think you don't care.",
WWAD004RA,Raz,They think you don't care if they live or die.,
WWAD007FR,Fred,Huh.,
WWAD012FR,Fred,"Hey, you take that little victory if you need it, tiny man. ",
WWAE002RA,Raz,"How about writing a check, actually? Building an army is going to cost us a little.",
WWAE006FR,Fred,I haven't really seen it since I tried to melt it down...,
WWAE009NP,Napoleon,Big surprise there.,
WWAE010RA,Raz,"So, where do you think that rare coin is?",
WWAE011FR,Fred,"I don't know. I remember trying to melt it down, and burning my hands, and then running to the kitchen for some ice, and then fainting.",
WWAE013FR,Fred,"Hey, you found my super valuable, rare coin!",
WWAE014RA,Raz,Yeah. Can I have it?,
WWAF001CN,Carpenter,"Go away, burglar!",
WWAF003CN,Carpenter,"Listen, I know you're a burglar. I've been listening to your footsteps on my roof all night, trying to break in. Why don't you just slide down the chimney? I got a nice fire going for you in here, Mr. Burglar!",
WWAF005CN,Carpenter,Maybe you're a ventriloquist.,
WWAF007CN,Carpenter,Maybe. ,
WWAF008RA,Raz,Good enough!,
WWAF010CN,Carpenter,"Well, I think you ventriloquist burglars usually walk across those ropes that are tied to my neighbor's roof. ",
WWAF011CN,Carpenter,"You know, I should really take those down with all the burglars we have walking around...",
WWAF012RA,Raz,Will you join our cause if I take care of your roof burglar?,
WWAG001P1,Peasant-1,"Go away! Fred Bonaparte has forgotten the people, and we have forgotten him!",
WWAG003P1,Peasant-1,He has abandoned us! He doesn't care if we live or die!,
WWAG005P1,Peasant-1,I'll believe it when I hear it from him!,
WWAG007P1,Peasant-1,Did you talk to Fred Bonaparte yet?,
WWAH001P2,Peasant-2,Yes!,
WWAH003P2,Peasant-2,Hm. What's the pay?,
WWAH005P2,Peasant-2,Pffft! Forget it.,
WWAH006RA,Raz,Hi. So now that the guy is gone--,
WWAH008P2,Peasant-2,What's the pay?,
WWAH010P2,Peasant-2,This work is hazardous.  I want hazard pay.,
WWAH012P2,Peasant-2,Not for me you understand. It's to take care of my family once I'm killed. ,
WWAH014P2,Peasant-2,"Yeah, right.",
WWAH015P2,Peasant-2,You just come back when you get Fred to pay up.,
WWAI001P3,Peasant-3,Go away! I'm not coming out 'til the soldier's gone! I'm unarmed!,
WWAI003P3,Peasant-3,"Yeah, nice try.",
WWAI004RA,Raz,Hello? I'm recruiting soldiers for the army of the caring and generous Fred Bonaparte--,
WWAI005P3,Peasant-3,Weapon.,
WWAI007P3,Peasant-3,"Weapon. That's what I want. I'm not going to die like the others, okay?",
WWAI009P3,Peasant-3,You get me my special Musket and I'll come out. I think I left it buried in some hay in that heavily-guarded building over there.,
WWAI010P3,Peasant-3,Then I'll sign up and kill me some Napoleon-lovers. Got it?,
WWAI012RA,Raz,"Hey, what was it you--",
WWAI013P3,Peasant-3,"Weapon. Weapon. In the hay, in that building.",
