"Identifier","Context","Source string","Translation"
"ASGD027GL","Gloria","Oh, no!",""
"ASGD028RA","Raz","What?",""
"ASGD029GL","Gloria","This little guy looks terrible.",""
"ASGD030GL","Gloria","My oh my. Winter sure was hard on this poor, old garden. I've got a lot of work to do when I get back, eh?",""
"ASGD001GL","Gloria","Thank you, all of you! You're all so kind! You make a girl so happy!",""
"ASGD003GL","Gloria","You must be my new leading man. Aren't you handsome! But my gracious, you're so young! Tell me WHY do they keep casting me with such mere babes? I guess that's the curse of having an eternally young face.",""
"ASGD004GL","Gloria","Come, Sweetie! Take a bow! Gloria Von Gouten is not afraid to share the spotlight!",""
"ASGD012GL","Gloria","It's talent that lands the statues, boy! Come here! Let me show you my award!",""
"ASGD013GL","Gloria","Ahhh!",""
"ASGD015RA","Raz","Ms. Von Gouton?",""
"ASGD022GL","Gloria","What's that, boy? I heard you! You think I'm old, washed-up, a has-been. I'll show you!",""
"ASGD023RA","Raz","Ahhhh!",""
"ASGD031GL","Gloria","Ah, you decided to take one last curtain call after all! How nice!",""
"ASGD032GL","Gloria","I knew you'd return to the stage someday! They all do!",""
"ASGD033GL","Gloria","We've lost some of our best actors to this whole television thing, but I tell you it's just a fad!",""
"ASGD034GL","Gloria","Oh, please. It is my policy not to receive gifts from fans, because they already give me so much!",""
"ASGD035GL","Gloria","Is that for my hair? Thank you, but I bring my own hairdresser to every production.",""
"ASGD036GL","Gloria","Really! In my day, child, we didn't need props. We acted!",""
"ASGD037GL","Gloria","Oh, my robe, how nice of you. Not quite ready to go in yet, though, dear.",""
"ASGD038GL","Gloria","Oh! Oh, my! What happened? Did I faint again and not notice?",""
"ASGD041GL","Gloria","Please excuse me, but your taking me away from the fans.",""
"ASGD042GL","Gloria","Oh, pardon me!",""
"ASGD043GL","Gloria","You know, a better director wouldn't let us walk on each other like this.",""
"ASGD044GL","Gloria","Why, isn't that nice?",""
"ASGD045GL","Gloria","Oooh, that's not very nice.",""
"ASGD046GL","Gloria","Oh, my no. Not a standing ovation. Please! I don't deserve that! Oh...",""
"ASGD047GL","Gloria","Please, don't bother my audience.",""
"ASGD048GL","Gloria","Please don't do that.",""
"ASGD049GL","Gloria","Oh, my! Usher!",""
"ASGD050RA","Raz","I'll talk to her as soon as her performance is over.",""
"ASGD051RA","Raz","This audience is dead. I don't see any green on it anywhere.",""
"ASBF001ED","Edgar","Yes, go, please. My thoughts are hideous enough to myself. No one should have to suffer them but I.",""
"ASBL001RA","Raz","Rrrrrr!",""
"ASBL002LI","Lili","Rrrrr!",""
"ASBL003LI","Lili","Man that lock's tough!",""
"ASBL004RA","Raz","Yeah. I think we're definitely going to need Sasha and Milla's help with this one.",""
"ASBL005LI","Lili","Yeah. You keep saying that.",""
"ASBO001BO","Boyd","Ah! Who are you working for?",""
"ASBO002RA","Raz","Wh--uh... I'm with the Psychonauts!",""
"ASBO003BO","Boyd","The who? Oh, that doesn't fit in. That doesn't fit in at all. Maybe I've got this all wrong!",""
"ASBO004RA","Raz","Who do YOU work for?",""
"ASBO005BO","Boyd","I'm the guard. I've been fully trained.",""
"ASBO006RA","Raz","You gotta let me in! My friend's in there!",""
