"Identifier","Context","Source string","Translation"
"BBLI001BZ","Bobby","We can't get past this. This is STUPID.","Тут не пройти. Це ж ТУПО."
"BBLI002RA","Raz","Hmm. Looks like a test. There's probably a secret, more advanced route.","Гм-м. Схоже, він перевіряє, чи вистачить у нас розуму знайти обхідний шлях."
"BBLI003BZ","Bobby","What's THAT supposed to mean? You think you're more advanced than me, new kid?","Це на ЩО ти натякаєш? Думаєш, що ти розумніший за мене, новачку?"
"BBLI004RA","Raz","Sorry. What?","Ти про що?"
"BBLI005BZ","Bobby","I'm not stupid. You're stupid. The Coach is stupid. The whole camp is stupid. That thing flying at you is stupid!","Я не тупий. Це ти тупий. Тренер тупий. Увесь табір тупий. І те, що тебе зараз вдарить, теж тупе!"
"BBLI006RA","Raz","What's flying at me?","Що мене вдарить?"
"BBLI007RA","Raz","Wha--","А-а..."
"BBLI008BZ","Bobby","Bobby Zilch's foot, that's what! Ya stupid new kid! Yeah!","Нога Боббі Зілча, ось що! Дубоголовий ти новачок! О, так!"
"BBLI009BZ","Bobby","Eh, eh-heh! Eh, eh, eh-eh! Eh, eh-eh!","І, і-і! І, і, і-і! І, і-і!"
"BBLI010RA","Raz","Waaaahhh-uh!","А-а-а-а-а... ой!"
"BBLI011RA","Raz","Uh-huh?","Ого?"
"BBLI012RA","Raz","Oh, heh. Thanks for saving me!","О. хех. Дякую, що врятувала мене!"
"BBLI013LI","Lili","Well, actually, I was saving this plant.","Насправді я рятувала цю рослину."
"BBLI014RA","Raz","Huh. Never seen one so meaty before.","Га. Ніколи не бачив таких м'ясистих."
"BBLI015LI","Lili","I have. It's been appearing in this creepy nightmare I keep having.","А я бачила. Воно являється мені в одному й тому ж нічному жаху."
"BBLI016RA","Raz","You're having nightmares? Oh, I've been reading about how to fix those! Will you let me see one?","Тебе мучать жахи? О, я читав, як їх позбавитись! Даси подивитися свій?"
"BBLI017LI","Lili","Hmmm. No.","Гм-м-м. Ні."
"BBVI001RA","Raz","Hello!","Hello!"
"BBVI002RA","Raz","Hello?","Hello?"
"BBVI003RA","Raz","Guess I'm early.","Guess I'm early."
"BBVI004RA","Raz","Hmmm...","Hmmm..."
"BBVI005CO","Coach","HOLD IT RIGHT THERE, SON!","HOLD IT RIGHT THERE, SON!"
"BBVI006CO","Coach","Now just what in the sam hill do you thing you're doing in there?","Now just what in the sam hill do you thing you're doing in there?"
"BBVI007RA","Raz","I was just looking for a way out.","I was just looking for a way out."
"BBVI008CO","Coach","Oh","Oh"
"BBVI009CO","Coach","You found it!","You found it!"
"BBVI010RA","Raz","Yeeeh!","Yeeeh!"
"BBVI011CO","Coach","Sorry about that.","Sorry about that."
"BBVI012CO","Coach","Didn't think you'd get to the end so fast.","Didn't think you'd get to the end so fast."
"BBVI013CO","Coach","Dang! I didn't think you'd get to the end at all!","Dang! I didn't think you'd get to the end at all!"
"BBVI014CO","Coach","But I'm always glad to see a soldier come back from the field alive.","But I'm always glad to see a soldier come back from the field alive."
"BBVI015CO","Coach","You surprised me out there, kid.","You surprised me out there, kid."
"BBVI016CO","Coach","Here. You've earned this.","Here. You've earned this."
"BBVI017CO","Coach","Your first PSYCHONAUT MERIT BADGE!","Your first PSYCHONAUT MERIT BADGE!"
"BBVI018CO","Coach","Now if you'll excuse me, I gotta go back in.","Now if you'll excuse me, I gotta go back in."
"BBVI019CO","Coach","I left some good men back there!","I left some good men back there!"
"BBBI030CO","Coach","Your Mental Health depends on your hustle.","Your Mental Health depends on your hustle."
"BBBI031CO","Coach","If you get hurt in this plane, you will lose mental health, and not be able to maintain your projection onto the field of battle.","If you get hurt in this plane, you will lose mental health, and not be able to maintain your projection onto the field of battle."
"BBBI032CO","Coach","YOU WILL BE SENT BACK TO THE REAL WORLD DO YOU UNDERSTAND?","YOU WILL BE SENT BACK TO THE REAL WORLD DO YOU UNDERSTAND?"
"BBBI033RA","Raz","Yes sir!","Yes sir!"
"BBBI034CO","Coach","THEN LET'S HIT THIS BEACH!","THEN LET'S HIT THIS BEACH!"
"BBBI035CO","Coach","LET'S TAKE THAT HILL!","LET'S TAKE THAT HILL!"
"BBBI036CO","Coach","Let's GO GO GO!!!","Let's GO GO GO!!!"
"BBBI037RA","Raz","This... rocks.","This... rocks."
"BBBI038CO","Coach","Onward and upward, soldier!","Уперед та вгору, солдате!"
"BBBI039CO","Coach","Go go go!","Go go go!"
"BBBI040CO","Coach","It's game day, kid!","Не дограйся там, малий!"
"BBBI041CO","Coach","Move! Move! Move!","Move! Move! Move!"
"BBBI042CO","Coach","Dang, my BOWELS move more than you do, pokey!","Чорт забирай, навіть мій ШЛУНОК працює швидше за тебе!"
"BBBI043CO","Coach","You're like molasses goin' uphill in January--with crutches.","Повзеш як меляса вгору посеред січня. На милицях."
"BBBI044CO","Coach","LESS WAITING, MORE MOTIVATING!","НЕ ЛОВИ ҐАВ, ВСТАВ І ПОГНАВ!"
"BBBI045CO","Coach","You'll have plenty of time to stand around when you're dead!","You'll have plenty of time to stand around when you're dead!"
"BBBI046CO","Coach","Is your name Joey?","Тебе як звати? Павлик?"
"BBBI047RA","Raz","No!","Ні!"
"BBBI048CO","Coach","Cuz I'm gonna call ya ""Slowey Joey.""","Бо я тебе зватиму «равлик-Павлик»."
"BBBI049RA","Raz","That's not my name!","Мене не так звати!"
"BBBI051CO","Coach","I can't hear ya! Yer talking too slow!","Не чую! Повільно розмовляєш!"
"BBBI052CO","Coach","Ha ha ha!","Ха-ха-ха!"
"BBBI053CO","Coach","You hit that ladder hard, son!","Чіпляйся за драбину щосили, синку!"
"BBBI054CO","Coach","Show it who's boss!","Покажи їй, хто тут головний!"
"BBBI055CO","Coach","Now that kind of wall, you can climb it up, down, sideways, whatever way you want.","По такій стіні можна повзти вгору, вниз, вбік, як завгодно."
"BBBI056CO","Coach","Just get on it!","Залазь на неї!"
"BBBI057CO","Coach","Quick! Like a monkey!","Хутко! Як мавпа!"
"BBBI058CO","Coach","Ooo! Ooo! Ooo!","Ooo! Ooo! Ooo!"
"BBBI059CO","Coach","Hold it right there, boy.","Пригальмуй-но, хлопче."
"BBBI060CO","Coach","That's a Mental Cobweb.","Це — ментальна павутина."
"BBBI061CO","Coach","You touch one of them you're in a world of hurt.","You touch one of them you're in a world of hurt."
"BBBI062CO","Coach","You can collect them with a specialized piece of equipment, once you get checked out on it.","Ти зможеш збирати її за допомогою спецобладнання, коли воно в тебе з'явиться."
"BBBI063CO","Coach","Until then, just steer clear of 'em.","А доти, просто проходь повз."
"BBBI072CO","Coach","Relax--that's just a figment of my imagination.","Розслабся, це просто вигадка моєї уяви."
"BBBI073CO","Coach","You can run right through figments.","Через них можна пробігати."
"BBBI074CO","Coach","So whenever you see a figment--suck it up, soldier!","Тож коли ти бачиш вигадку, засвой її, солдате!"
"BBBI075CO","Coach","Come on!","Ну ж бо!"
"BBBI076CO","Coach","Get that figment!","Хапай вигадку!"
"BBBI077CO","Coach","Be a figgy piggy!","Be a figgy piggy!"
"BBBI078CO","Coach","Who's Coach's little piggy?","Who's Coach's little piggy?"
