"Identifier","Context","Source string","Translation"
"BVCH001LA","Lampita","Matador! Matador! That's the team I'm rooting for!",""
"BVCH002LA","Lampita","Yeeeeaaaaahhhh Dingo!",""
"BVCH003LA","Lampita","Woo-hoo!",""
"BVCH004LA","Lampita","Woo-hoo! C'mon!",""
"BVCH005LA","Lampita","Wooo! Hahaha!",""
"BVCH006LA","Lampita","Let's go Dingo let's go!",""
"BVCH008LA","Lampita","East and west!",""
"BVCH009LA","Lampita","He's the best!",""
"BVCH010LA","Lampita","Diiiiiiiii-ingo!",""
"BVCH011LA","Lampita","Woooo!",""
"BVCH012LA","Lampita","Be aggressive! Be-e aggressive!",""
"BVCH013LA","Lampita","B-e-a-g-g",""
"BVCH014LA","Lampita","r-e-s-s-i-v-e!",""
"BVCH015LA","Lampita","Beeeee aggressive! Woo-hoo!",""
"BVCH016LA","Lampita","Odio! Odio!",""
"BVCH017LA","Lampita","Don't be such a dodio!",""
"BVCH019LA","Lampita","Go back to the rodeo!",""
"BVCH020LA","Lampita","Yeah! Wooo!",""
"BVCH021LA","Lampita","Dingo! Dingo! Don't be shy!",""
"BVCH022LA","Lampita","Stab that bull and make him cry!",""
"BVCH023LA","Lampita","Put that blade right through his skull.",""
"BVCH024LA","Lampita","Murderize that stupid bull!",""
"BVCH025LA","Lampita","Yeah, Seniors! Go Seniors! Wooo!",""
"BVDO001ED","Edgar","Snnnrl! Ooh-ooh-ug.",""
"BVDO002RA","Raz","Thought so.",""
"BVDO003ED","Edgar","Where am I?",""
"BVDO004MA","Matador","Thank you for preparing the bull, my humble picador. I shall now finish this beast off easily.",""
"BVDO005RA","Raz","Edgar, listen. There is no El Odio, no Lampita, no Dingo.",""
"BVDO006RA","Raz","They are all just creations of your rage.",""
"BVDO007RA","Raz","You have to let them go or they will torture you forever.",""
"BVDO008ED","Edgar","Wha--",""
"BVDO009RA","Raz","That is your romanticized memory of your ex-girlfriend Lana Panzoni, who dumped you for Dean LaGrante way back in high school!",""
"BVDO010RA","Raz","They were both cheerleaders for crying out loud!",""
"BVDO011RA","Raz","You can't let the junior varsity pep squad ruin your life!",""
"BVDO012DI","Dingo","Um, what's up with the ""Junior?""",""
"BVDO013LA","Lampita","Yeah, we were full-on varsity.",""
"BVDO014DI","Dingo","Gimme a G!",""
"BVDO015LA","Lampita","G!",""
"BVDO016DI","Dingo","Gimme an O!",""
"BVDO017LA","Lampita","O!",""
"BVDO018DI","Dingo","Gimme a B!",""
"BVDO019LA","Lampita","B!",""
"BVDO020DI","Dingo","Gimme a U!",""
"BVDO021LA","Lampita","U!",""
"BVDO022DI","Dingo","Gimme an L!",""
"BVDO023LA","Lampita","L!",""
"BVDO024DI","Dingo","Gimme another L!",""
"BVDO026DI","Dingo","Gimme an S!",""
"BVDO027LA","Lampita","S!",""
"BVDO028DI","Dingo","What's that spell?",""
"BVDO029LA","Lampita","Goooooooooo BULLS! Yeah! Wooo!",""
"BVDO031RA","Raz","Edgar, listen. It's your rage that imprisons you, not them.",""
"BVDO032ED","Edgar","They stole my happiness, my life, the state semi finals, everything!",""
"BVDO033ED","Edgar","Ahhhhhh!",""
"BVDO034RA","Raz","No, wait! Edgar!",""
"BVDO035LA","Lampita","Olé!",""
"BVDO036DI","Dingo","Ha ha ha! He never learns!",""
"BVDO037RA","Raz","I guess I have to take this Matador out myself before he does too much damage.",""
"BVIN001RA","Raz","That's an impressive house of cards you're building there.",""
"BVIN002ED","Edgar","And still... not high enough to reach the sky, and free her from her prison.",""
"BVIN003RA","Raz","Who is she?",""
"BVIN004ED","Edgar","I--I do not know.",""
"BVIN005ED","Edgar","I only know that she is beautiful, perfect, and sad.",""
"BVIN006ED","Edgar","All day she cries rose petal tears, and I can do nothing to help her because my creation... lacks something.",""
"BVIN007ED","Edgar","And it will not stand against the bull.",""
"BVIN008RA","Raz","What bull?",""
"BVIN009ED","Edgar","El Odio.",""
"BVIN010RA","Raz","Okay, don't take this the wrong way, but I don't think you're working with a full deck here.",""
"BVIN011ED","Edgar","Somewhere along the way I feel that I lost something important, but I do not know…",""
"BVIN012RA","Raz","I think it's your queens. You want me to go look for them?",""
"BVIN013ED","Edgar","Bring me any cards you find! I must complete this tower!",""
"BVOS001ED","Edgar","Snort.",""
"BVOS002ED","Edgar","Rarr.",""
"BVOS004ED","Edgar","Snoorrrrrt.",""
"BVOS005ED","Edgar","Grunt.",""
"BVOT001LA","Lampita","I knew you would save me some day.",""
"BVOT002LA","Lampita","He just won't let me go. Tell me, how did you kill him?",""
"BVOT003RA","Raz","Kill who?",""
"BVOT005RA","Raz","I didn't.",""
"BVOT006RA","Raz","Edgar?",""
"BVOT007ED","Edgar","Rrrrrr! Rrrrrr!",""
"BVVI001DI","Dingo","Ooof!",""
"BVVI002LA","Lampita","Ah-hoo hoo!",""
"BVVI003RA","Raz","Wait!",""
"BVVI004LA","Lampita","It's... all right... it's okay.",""
"BVVI005LA","Lampita","We'll win the game... some... other... day… oooh hooo hoo!",""
"BVVI006RA","Raz","Ug, please. Edgar, look at them. They're too pathetic to hurt you any more.",""
"BVVI007RA","Raz","Can't you just let it go?",""
"BVVI008ED","Edgar","How embarrassing. I can't believe I was hung up for so long over these losers.",""
"BVVI009LA","Lampita","Um... uh... I--I always loved you more?",""
"BVVI010LA","Lampita","Ahhhhhhhhhhhhhhhhh!",""
"BVVI012LA","Lampita","(quiet sobbing)",""
"BVVI013DI","Dingo","Ahahahahaha!",""
"BVVI014DI","Dingo","Ahhh-ah!",""
"BVAP008RA","Raz","Eh, eh-eh. Eh, eh, eheh!",""
"BVAH001AN","Announcer","As a reminder, no one's ever gonna beat Cobra without breaking his concentration",""
"BVAH002AN","Announcer","That challenger needs to roll away from those aerial attacks!",""
"BVAH003AN","Announcer","Unless that kid can fly, he'll never beat the Dragon roar",""
"BVAH004AN","Announcer","Avoiding the Tiger Pounce requires some serious tumbling skills!",""
"BVAJ001RA","Raz","I don't want to use that card here. A card laid is a card played.",""
"BVAL001RA","Raz","OW!",""
"BVAM003RA","Raz","Hey, uh, we really gotta get that billboard painted.",""
"BVAM000BD","Bulldog","Okay, man, here's the plan. Step one: I quit ""we."" Step two: ""We""--which is now just you--runs out there and gets killed painting the billboard.",""
"BVAM004RA","Raz","Maybe I can distract the bull while you paint. It's so crazy it just might work.",""
"BVAM001BD","Bulldog","Or maybe it's so crazy that it's just extra crazy. There's absolutely no way I'm going out there, man.",""
"BVAM005RA","Raz","C'mon, you're a bulldog! Show some backbone. Plus, who wants to go for a walk? Who wants to go for a walk?",""
"BVAM002BD","Bulldog","Stupid. Dog. Brain. RRRRRR. ACK. Alright, let's go!",""
"BVAM006RA","Raz","Great! When I say ""Go boy!"" get moving!",""
"BVAN001AN","Announcer","Next up: Junior King ""Kong"" Cobra!",""
"BVAN003AN","Announcer","Introducing--fresh from the Thrilla in Manilla, Iowa--",""
"BVAN004AN","Announcer","Introducing--fresh from an astonishing victory at the Killings in Billings--",""
"BVAN005AN","Announcer","Introducing--back from a crushing victory at Someone Might Lose a Tooth in Duluth--",""
"BVAN008AN","Announcer","TIGER!",""
"BVAN009AN","Announcer","DRAGON!",""
"BVAN010AN","Announcer","EAGLE!",""
"BVAN011AN","Announcer","KING 'KONG' COBRA!",""
"BVAN012AN","Announcer","FIGHT!",""
"BVAN013AN","Announcer","WRESTLE!",""
"BVBI007RA","Raz","Go boy!",""
"BVBI002BD","Bulldog","I think it turned out pretty well. On the other hand, I'm color blind.",""
"BVBI000BD","Bulldog","NO! The painting's ruined!",""
"BVBI001BD","Bulldog","Oh, that's the biggest squirrel I've ever seen. Out of my way, kid!",""
"BVBM000RA","Raz","You look pretty jumpy. What's the problem?",""
"BVBM002BD","Bulldog","I'm supposed to paint an ad for the big fight between Dingo the Matador and the town bull. Only the bull's on a rampage right through where the painting needs to go.",""
"BVBM002RA","Raz","Oooo, Dingo the Matador? I need to talk to him!",""
"BVBM004BD","Bulldog","His apartment's right upstairs. While you're there, maybe you can convince him to take care of the bull.",""
"BVBM007BD","Bulldog","The devil cat has horns!!!! AHHHHHH! AHHHHHH!",""
"BVCI000CB","Cobra","Hey Edgar, nice headgear.  Freak.",""
"BVCI014RA","Raz","What?",""
"BVCI001CB","Cobra","What? You suck, Teglee. You can't beat me. Coach says I can't be beat. Coach says I got mental toughness. You can't break my concentration, wimp.",""
"BVCI015RA","Raz","Hey, I'm not Edgar.",""
"BVCI002CB","Cobra","Yeah, you're gonna wish you're not Edgar when I'm through.",""
"BVCI016RA","Raz","Look, I am NOT Edgar Teglee.  My name's Raz.  I'm a Psychonaut.",""
"BVCI003CB","Cobra","You're an idiot, Smeglee. Coach says your psycho girl-crazy lack of focus cost you states.",""
"BVCI017RA","Raz","Seriously, I don't want to have to hurt you.",""
"BVCI004CB","Cobra","Well since you'd have to break my concentration to even touch me, and since you can't break my concentration, I guess you won't be too disappointed then.",""
"BVCO000CL","Collie","What? I can't BELIEVE you're not buying that beautiful painting.",""
"BVCO001CL","Collie","Yes, I guess it's hard to look at just one when you're at a delicious smorgasbord such as this!",""
"BVCO002CL","Collie","Hup. Where'd you go?",""
"BVCO003CL","Collie","Oh, this one's good too!",""
"BVCO004CL","Collie","Oh, there you are!",""
"BVCO000RA","Raz","I'll take it!",""
"BVCO005CL","Collie","(gasp)",""
"BVCO006CL","Collie","Oh, I don't know if I can let it go!",""
"BVCO007CL","Collie","Oh all right. If you're going to give me that puppy dog look!",""
"BVCO008CL","Collie","Okay, number one: I am an ARTIST. Don't speak to me of BUSINESS.",""
"BVCO009CL","Collie","Number two: True beauty is priceless.",""
"BVCO010CL","Collie","Number three: Yes. Come...",""
"BVCO011CL","Collie","Sorry but my priceless art has been sold off, cheap, much like the years of my youth.",""
"BVCO078CL","Collie","My priceless art has been sold off, cheap, much like the years of my youth.",""
"BVCO012CL","Collie","Thank god. I felt like I was being looted.",""
"BVCO013CL","Collie","(cough) Pearls before swine. (cough)",""
"BVCO014CL","Collie","Nothing.",""
"BVCO015CL","Collie","Now then, you will, of course, want something else.",""
"BVCO002RA","Raz","Hey, how's business? Can I buy some art?",""
"BVCO003RA","Raz","Yeah, I saw another dog selling art up the street. Are you guys a chain?",""
"BVCO004RA","Raz","Why don't you guys just make a run for it?",""
"BVCO016RA","Raz","Could you tell me again about your dog friends?",""
"BVCO005RA","Raz","Hey, can you fight bulls? I have a bull problem.",""
"BVCO006RA","Raz","Who CAN do it? Who can fight El Odio?",""
"BVCO007RA","Raz","Why won't they ask Dingo to help? Is he expensive?",""
"BVCO008RA","Raz","WHAT? What happened between Dingo and Edgar?",""
"BVCO009RA","Raz","COME ON! Tell me! What's the big scandal???",""
"BVCO011RA","Raz","Okay, I bought some art. Now give me the dirt on Dingo.",""
"BVCO012RA","Raz","Whoa. That's a great story. You should do a painting about it.",""
"BVCO013RA","Raz","I think that Dingo sounds like a jerk.",""
"BVCO014RA","Raz","Must be tough.",""
"BVCO015RA","Raz","Gotta go.",""
"BVCO077CL","Collie","Shoo, get out of here.  Don't bother my customers!",""
"BVCO016CL","Collie","Ah, you have met my compadres. When we were young art dogs we would run wild in the street together.",""
"BVCO017CL","Collie","But now...",""
"BVCO018CL","Collie","You couldn't understand.",""
"BVCO019CL","Collie","El Odio imprisons us all. Art is the only escape.",""
"BVCO020CL","Collie","And today is the only day...",""
"BVCO021CL","Collie","...that it's going to be this cheap. All these prices go up tomorrow because of tourist season.",""
"BVCO022CL","Collie","Sorry.",""
"BVCO023CL","Collie","Artist here.",""
"BVCO024CL","Collie","Delicate hands.",""
"BVCO025CL","Collie","And anyway, if you are talking about El Odio, well...",""
"BVCO026CL","Collie","There is, of course, only one man who could handle that much bull.",""
"BVCO027CL","Collie","I speak of no other than Dingo Inflagrante...",""
"BVCO028CL","Collie","...the infamous Matador playboy.",""
"BVCO029CL","Collie","Alas, they would never ask him to help. Not in a million years!",""
"BVCO030CL","Collie","No. Because of what happened between him and Edgar. Quite a scandal.",""
"BVCO031CL","Collie","Tragedy. Betrayal.",""
"BVCO032CL","Collie","Art.",""
"BVCO033CL","Collie","Love.",""
"BVCO034CL","Collie","Pain.",""
"BVCO035CL","Collie","Nothing you want to know about.",""
"BVCO036CL","Collie","Listen, I deal in truth and beauty, not dirt.",""
"BVCO037CL","Collie","But...",""
"BVCO038CL","Collie","Maybe if you had bought some art...",""
"BVCO039CL","Collie","...then I'd have to come up with some small talk while we're making change, and, you know…",""
"BVCO040CL","Collie","Mmmm...hmmhmmm...",""
"BVCO041CL","Collie","Okay, here's how I heard it.",""
"BVCO042CL","Collie","Years ago, when Edgar was a world-renowned painter, he was commissioned by Dingo to immortalize him in black velvet.",""
"BVCO043CL","Collie","But while he was sitting for the portrait, Dingo met Edgar's beautiful wife.",""
"BVCO044CL","Collie","Who was none other than the top Flamenco dancer Lampita Pasionado!",""
"BVCO045CL","Collie","He seduced the dancer, and the two ran off together, leaving Edgar with the unfinished painting...",""
"BVCO046CL","Collie","...and a broken heart.",""
"BVCO047CL","Collie","Since then, Edgar thinks of nothing but the treacherous pair...",""
"BVCO048CL","Collie","...and since then our streets have been ruled by...",""
"BVCO049CL","Collie","...El Odio!",""
"BVCO050CL","Collie","Yes, that's what we need around here. Some paintings of Dingo and bulls, yeah. Good idea.",""
"BVCO051CL","Collie","Ah, he gets an unfair rap because of his looks.",""
"BVCO052CL","Collie","As a Collie, I know how hard it is to be resented for your beauty.",""
"BVCO053CL","Collie","It's like being forced to wear a golden robe with a diamond 'kick me' sign on the back.",""
"BVCO054CL","Collie","Eh. I work it out through my painting.",""
"BVCO055CL","Collie","Be good.",""
"BVCO056CL","Collie","Since I am trapped here, I like to paint far away island scenes as an escape.",""
"BVCO057CL","Collie","Like this adorable tiki hut.",""
"BVCO058CL","Collie","Do you think tiki is a fun word to say? I do.",""
"BVCO059CL","Collie","I love this painting.",""
"BVCO060CL","Collie","Look at the brushwork!",""
"BVCO061CL","Collie","I love it so much, if it didn't have it's backside up against the wall, I would sniff it!",""
"BVCO062CL","Collie","Yes. A thing of beauty is a joy forever, but... prices like these cannot last.",""
"BVCO063CL","Collie","Now that I look at it... I'm not sure if it's for sale at all. It might be too good. I might have to keep it.",""
"BVCO064CL","Collie","It's almost as beautiful as me, you have to admit.",""
"BVCO065CL","Collie","Please don't breathe directly on this painting. It is very valuable.",""
"BVCO066CL","Collie","I cannot look at this painting for too long, or I will cry with joy.",""
"BVCO067CL","Collie","Outstanding. That's all I can say.",""
"BVCO068CL","Collie","No offense, but you are not good enough for this piece. Please, please do not buy it.",""
"BVCO069CL","Collie","I was playing with spatial relationships here.",""
"BVCO070CL","Collie","Well, I 'played' in the same way that Beethoven 'played' with dissonance in the 'Eroica Symphony, if you follow me.",""
"BVCO071CL","Collie","This one is... well... more of a tone poem.",""
"BVCO072CL","Collie","What's important in this piece is not what I painted, but what I did NOT paint. Know what I mean?",""
"BVCO073CL","Collie","Well, I guess I COULD let this one go...",""
"BVCO074CL","Collie","Try to handle it only by the edges.",""
"BVCO076CL","Collie","Step into my world of beauty.",""
"BVCP016RA","Raz","Tell me that story about Dingo and Lampita again!",""
"BVCR000CB","Cobra","You can't hurt me, Smeglee!",""
"BVCR000RA","Raz","Look, mister, I AM NOT EDGAR TEGLEE!",""
"BVDA082DA","Dalmatian","Get outta here you punks!  Leave my customer alone!",""
"BVDA000DA","Dalmatian","What? You want more?",""
"BVDA001DA","Dalmatian","Ha-huh.  Couldn't look at that one any more, ahh?",""
"BVDA002DA","Dalmatian","Look, give it up. None of them are any good.",""
"BVDA003DA","Dalmatian","Each one worse than the last...",""
"BVDA004DA","Dalmatian","You're kidding.",""
"BVDA001RA","Raz","No, I want it.",""
"BVDA005DA","Dalmatian","Well, there's no accounting for taste I guess.",""
"BVDA006DA","Dalmatian","Right this way!",""
"BVDA007DA","Dalmatian","Sorry. I'm sold out.",""
"BVDA008DA","Dalmatian","Oh, wait. To be honest, I'm NOT sorry about that. I am happy about that.",""
"BVDA009DA","Dalmatian","You bought it all so YOU are the sorry one, my friend.",""
"BVDA010DA","Dalmatian","Don't tell anyone who painted these, okay?",""
"BVDA014DA","Dalmatian","Goooood riddance!",""
"BVDA012DA","Dalmatian","Well, maybe you can write it off on your taxes as a loss.",""
"BVDA013DA","Dalmatian","A catastrophic loss, even.",""
"BVDA015DA","Dalmatian","Enjoy that!   Heeheeeheee.",""
"BVDA016DA","Dalmatian","Well, with some luck, and a lot of self-abuse on your part, I have managed to sell out.",""
"BVDA017DA","Dalmatian","My thanks to your poor judgment.",""
"BVDA002RA","Raz","Hi. I want to buy a painting",""
"BVDA003RA","Raz","No, really. I'd like some art.",""
"BVDA004RA","Raz","You're going to turn away a paying customer?",""
"BVDA005RA","Raz","Edgar Teglee sent me. You know, the famous painter? How about a discount?",""
"BVDA006RA","Raz","Pfft, you don't give discounts? Or pffft, you don't think he's famous?",""
"BVDA007RA","Raz","Hey, there's no shame in hiding from wrestlers. They're trouble. Especially the wild animal type.",""
"BVDA008RA","Raz","No. I just meant wrestlers can be tough. I didn't mean you.",""
"BVDA009RA","Raz","Yes. I would like to wrestle. Let's go.",""
"BVDA010RA","Raz","Yeah, I want some art.",""
"BVDA011RA","Raz","No, I want to talk about Edgar. Has he always had a problem with wrestlers?",""
"BVDA012RA","Raz","Has Edgar always had a problem with wrestlers?",""
"BVDA013RA","Raz","Why did he choke? Did they get him in one of those pile driver things?",""
"BVDA014RA","Raz","How sad. Especially since it all happened to him again with Dingo and Lampita.",""
"BVDA016RA","Raz","So tell me that again? Edgar was a bad wrestler?",""
"BVDA015RA","Raz","See ya.",""
"BVDA044DA","Dalmatian","No you don't.",""
"BVDA045DA","Dalmatian","Came to the wrong place then. All we got here is junk.",""
"BVDA046DA","Dalmatian","Hm. Your argument has many strong points.",""
"BVDA047DA","Dalmatian","Especially around that area where you said the word… paying…",""
