"Identifier","Context","Source string","Translation"
"CABD001RA","Raz","Dogen! Are you okay? I had the strangest machine-induced dream about you!","Доґене! Ти як? Мені тут одна машина показала надзвичайно дивний сон про тебе!"
"CABD002DO","Dogen","TV?","ТБ?"
"CABD003RA","Raz","Well, first of all, Sasha Nein invited me down to his SECRET LAB and--","Спочатку Саша Найн запросив мене до своєї СЕКРЕТНОЇ ЛАБОРАТОРІЇ, а потім..."
"CABD005RA","Raz","He's completely brainless!","Він безмозкий!"
"CABD006RA","Raz","The dream was true!","Сон і справді був віщий!"
"CABD007RA","Raz","Dogen, don't worry. I know where your brains are. They're in... like, this crazy, dream-thorn-bush-straight-jacket-tower place.","Не хвилюйся, Доґене Я знаю, де твій мозок. Він у такій... безумно-колючо-заросло-гамівносорочній вежі."
"CABD008DO","Dogen","Hackey sack?","Сокс?"
"CABD009RA","Raz","You go to the TV lounge. I'm on the case. I just need a little more advanced training to prepare…","Іди відпочинь у хижі. Я візьму цю справу на себе. Але мені потрібно ще трохи підготуватись…"
"CAJI015FO","Ford","You'd better hurry on up there. Morry's already started in on those kids. Can't you hear 'em screaming?","Тобі краще поквапитися. Моррі вже дібрався до дітей. Хіба ти не чув їхні крики?"
"CAJI016FO","Ford","Nothing like the sound of kids screamin' bloody murder on a hot summer day, eh?","Ніщо так не бадьорить сонячним літнім днем, як крики дітей про кривавого вбивцю, еге ж?"
"CALD001RA","Raz","Lili!","Лілі!"
"CALD002LI","Lili","Oh, hey Raz.","О, привіт, Разе."
"CALD003LI","Lili","Listen, I made you something. It's kind of stupid, but--","Слухай, я тут тобі дещо зробила. Така ось дурничка, але..."
"CALD004RA","Raz","They stole Dogen's brains!","Вони вкрали мізки Доґена!"
"CALD005LI","Lili","No, he's just like that.","Ні, він з народження такий."
"CALD006RA","Raz","I had a nightmare where this mad scientist guy said he was going to take them out and--","У мене був кошмар, де божевільний учений сказав, що витягне їх, а потім..."
"CALD007LI","Lili","Was it a creepy-looking freak with a shower cap and a stainless steel, three pronged claw?","Це був часом не дивак у шапочці для душу й сталевим тризубим кігтем замість руки?"
"CALD008RA","Raz","Hey! That's MY nightmare!","Гей! Це був МІЙ кошмар!"
"CALD009LI","Lili","So it's not just me…","Виходить, не тільки я його бачила…"
"CALD010RA","Raz","But how? And why all the meat?","Але як? І чому там стільки м'яса?"
"CALD011LI","Lili","I don't know, but I think it's time I find out where this is coming from.","Не знаю, але настав час мені із цим розібратися."
"CALD012RA","Raz","Once I get trained in Levitation I'll be able to see the rest of the nightmare and get more information.","Коли я навчуся левітації, я зможу подивитися решту кошмару й роздобути більше інформації."
"CALD013LI","Lili","Let's rendezvous tonight at the old boathouse for debriefing.","Тоді зустрінемося сьогодні біля елінгу для підбиття підсумків."
"CALD014RA","Raz","This is so cool.","Як же це круто."
"CALD015LI","Lili","Yeah, it feels like that time in ""True Psychic Tales"" 314 where--","Скажи, ми ніби герої 314 випуску «Справжніх Психічних Розповідей», де..."
"CALD016RA","Raz","What did you just say?",""
"CALD017LI","Lili","Shut up!","Ой, та пішов ти!"
"CALK001RA","Raz","Bobby! Uh-oh. Look, I can explain--",""
"CALK003BZ","Bobby","TV??",""
"CALK004BZ","Bobby","TV!",""
"CALK005LI","Lili","Ahh-choo!",""
"CALK006RA","Raz","Geez, it sounds like you caught a bad cold.",""
"CALK007LI","Lili","Maybe, but LISTEN! I traced the psychic interference back to Coach Oleander's radio!",""
"CALK008LI","Lili","He's been broadcasting his insane plot all over camp in his sleep!",""
"CALK009RA","Raz","So he's really kidnapping children and stealing their brains to make weapons!",""
"CALK010LI","Lili","Yes! Isn't that great?",""
"CALK011RA","Raz","What? How is that great?",""
"CALK012LI","Lili","Because this is an honest-to-goodness psychic emergency!",""
