"Identifier","Context","Source string","Translation"
"CAZE001TO","System","Move {LookControls} to look right.","Move {LookControls} to look right."
"CAZE002TO","System","Move {LookControls} to look up.","Move {LookControls} to look up."
"CAZE005TO","System","Move {LookControls} to look around.","Move {LookControls} to look around."
"CAZE010TO","System","Use {MovementControls} to aim your toss.","Use {MovementControls} to aim your toss."
"CAZE014TO","System","Try hanging and swinging on these wood supports. Use {MovementControls} to swing.  Press {AButton} to jump off.","Try hanging and swinging on these wood supports. Use {MovementControls} to swing.  Press {AButton} to jump off."
"CAZE021TO","System","Move {MovementControls} to build up momentum on this trapeze, then press {AButton} to jump!","Move {MovementControls} to build up momentum on this trapeze, then press {AButton} to jump!"
"CAZJ004TO","System","{AButton} Select Bunk","{AButton} Вибрати ліжко"
"CAZJ005TO","System","{AButton} Overwrite Profile","{AButton} Перезаписати профіль"
"CAZJ006TO","System","Delete Profile","Видалити профіль"
"GLZG041TO","System","{BButton} Exit","{BButton} Вихід"
"CAZF004TO","System","To change your camera preferences, press {StartButton} to open your JOURNAL, and select OPTIONS from the first page.","To change your camera preferences, press {StartButton} to open your JOURNAL, and select OPTIONS from the first page."
"CAZF006TO","System","This DOWSING ROD can be used to find deeper, more valuable PSITANIUM ARROWHEADS. Equip the DOWSING ROD and watch and listen to its changing color and sound. This is how it lets you know that you are getting closer to a DEEP ARROWHEAD.","This DOWSING ROD can be used to find deeper, more valuable PSITANIUM ARROWHEADS. Equip the DOWSING ROD and watch and listen to its changing color and sound. This is how it lets you know that you are getting closer to a DEEP ARROWHEAD."
