"Identifier","Context","Source string","Translation"
"GLRA041RA","Raz","Ow!","Ow!"
"GLRA042RA","Raz","Hey!","Hey!"
"GLRA043RA","Raz","Watch it!","Watch it!"
"GLRA045RA","Raz","Ah!","Ah!"
"GLRA046RA","Raz","Man!","Man!"
"GLRA048RA","Raz","Ooh ooh ohhhhh...","Ooh ooh ohhhhh..."
"GLRA049RA","Raz","Hrrr!","Hrrr!"
"GLRA052RA","Raz","HRRRRRR!","HRRRRRR!"
"GLRA053RA","Raz","Hmmmpf!","Hmmmpf!"
"GLRA054RA","Raz","Hp.","Hp."
"GLRA055RA","Raz","Hup.","Hup."
"GLRA056RA","Raz","Hayup.","Hayup."
"GLRA057RA","Raz","Ho.","Ho."
"GLRA058RA","Raz","Ha!","Ha!"
"GLRA059RA","Raz","Hmmmm.","Hmmmm."
"GLRA060RA","Raz","Hm-mmm.","Hm-mmm."
"GLRA061RA","Raz","Hmm?","Hmm?"
"GLRA062RA","Raz","Ah-ha!","Ah-ha!"
"GLRA063RA","Raz","Heh heh heh!","Heh heh heh!"
"GLRA064RA","Raz","Ha ha ha!","Ha ha ha!"
"GLRA065RA","Raz","Huh?","Huh?"
"GLRA066RA","Raz","What the--","What the--"
"GLRA067RA","Raz","Wooooo-hooooo!","Wooooo-hooooo!"
"GLRA068RA","Raz","That's strange.","That's strange."
"GLRA069RA","Raz","That looks a little dangerous.","That looks a little dangerous."
"GLRA070RA","Raz","I don't like the looks of that.","I don't like the looks of that."
"GLRA071RA","Raz","Uh-oh.","Uh-oh."
"GLRA072RA","Raz","Dang.","Dang."
"GLRA073RA","Raz","That's nasty.","That's nasty."
"GLRA074RA","Raz","Gross.","Gross."
"GLRA075RA","Raz","Cool!","Cool!"
"GLRA076RA","Raz","What ARE those things?","What ARE those things?"
"GLRA077RA","Raz","I don't think that's going to work.","I don't think that's going to work."
"GLRA078RA","Raz","Check it out! I'm invisible!","Check it out! I'm invisible!"
"GLRA080RA","Raz","Aaaaaaaaaaaaaaah!","Aaaaaaaaaaaaaaah!"
"GLRA079RA","Raz","Burn! Buuuuuurn!","Burn! Buuuuuurn!"
"GLRA081RA","Raz","Uh-uh.","Uh-uh."
"ASLV001LI","Lili","Rrrr.","Rrrr."
"ASLV002RA","Raz","Lili!","Lili!"
"ASLV003LI","Lili","Grrrr!","Grrrr!"
"ASLV004LI","Lili","(Gasp!)","(Gasp!)"
"ASLV005LO","Dr.Loboto","Well, I've reviewed your chart, little girl.","Well, I've reviewed your chart, little girl."
"ASLV006LO","Dr.Loboto","And the bad news is, we're gonna have to remove your brain","And the bad news is, we're gonna have to remove your brain"
"ASLV007LO","Dr.Loboto","...strap it into an armored battle tank and make it shoot down innocent civilians with its concentrated psychic death beam!","...strap it into an armored battle tank and make it shoot down innocent civilians with its concentrated psychic death beam!"
"ASLV008LI","Lili","I'm gonna kill you so much.","I'm gonna kill you so much."
"ASLV009LO","Dr.Loboto","The good news is that your insurance is going to cover the whole thing, so--","The good news is that your insurance is going to cover the whole thing, so--"
"ASLV010LO","Dr.Loboto","Heyyy, is it getting warm in here?","Heyyy, is it getting warm in here?"
"ASLV011LI","Lili","No, I'm just trying to set you on fire through this stupid hat!","No, I'm just trying to set you on fire through this stupid hat!"
