id,character,origin_dialogue,translated_dialogue
GLZA053TO,System,/AButton/ Yes.,
GLZA054TO,System,/AButton/ No.,
GLZD286TO,System,"Use /MovementControls/ and then press /BlackButton/,  /WhiteButton/, or /RightFlipper/ to map the selected power to that button.",
GLZD287TO,System,"To pull out an item from your backpack, point to it with /MovementControls/ and then press /AButton/. To return it to your backpack later, press /BButton/.",
GLZD351TO,System,Please reconnect the controller to controller port,
GLZD321TO,System,Drag /FullMouse/ or use Right /Joystick/ TO NAVIGATE.,
GLZD335TO,System,/AButton/ LOAD,
GLZD336TO,System,/XButton/ DELETE,
GLZD338TO,System,/AButton/ SAVE,
GLZD347TO,System,"You don't have enough free space to save this profile.
Press /Abutton/ to continue without saving or /Bbutton/ to free more space.",
GLZD348TO,System,"You don't have enough free space to save games.
Press /Abutton/ to continue without saving or /Bbutton/ to free more space.",
GLZD356TO,System,/MovementControls/ to SCROLL.,
GLZD358TO,System,/BButton/ BACK,
GLZD434TO,System,Saving preferences.,
GLZD435TO,System,Saving AUTOSAVE: POINT OF NO RETURN.,
GLZD507TO,System,Saving game.,
GLZD560TO,System,Please free,
GLZD561TO,System,more space.,
GLZD573TO,System,Why aren't you pressing /AButton/ ???,
GLZD587TO,System,Saving autosave.,
GLZE005TO,System,Use /MovementControls/ to aim your toss.,
GLZG041TO,System,/BButton/ Exit,
GLZE015TO,System,Control speed with /MovementControls/ or use it to change rails when jumping.,
GLZG018TO,System,Use /MovementControls/ or /FullMouse/ to navigate the Journal.,
GLZJ000TO,System,Press /AButton/ to begin.,
GLZD288TO,System,You have too many items to fit on one page! Use /DPadRight/ to see the rest of your items.,
GLZD551TO,System,/AButton/ Select,
GLZG036TO,System,"Raz has stowed the item in his backpack. To see what's in Raz's backpack, and what merit badges he has, press the /DPadLeft/ button.",
GLPC000TO,System,Move Forward,
GLPC001TO,System,Move Backward,
GLPC002TO,System,Move Left,
GLPC003TO,System,Move Right,
GLPC004TO,System,Jump,
GLPC005TO,System,Attack,
GLPC006TO,System,Use,
GLPC007TO,System,Cancel,
GLPC008TO,System,LockOn/Float,
GLPC009TO,System,PSI Power1,
GLPC010TO,System,PSI Power2,
GLPC011TO,System,PSI Power3,
GLPC012TO,System,Inventory Menu,
GLPC013TO,System,PSI Powers Menu,
GLPC014TO,System,First Person View,
GLPC015TO,System,Journal,
GLPC016TO,System,Stats,
GLPC017TO,System,Look Up,
GLPC018TO,System,Look Down,
GLPC019TO,System,Look Left,
GLPC020TO,System,Look Right,
GLPC021TO,System,Type your nickname. Only letters and numbers allowed.,
GLPC022TO,System,Press /Enter/ when done.,
GLPC023TO,System,Press /Escape/ to cancel.,
GLZE018TO,System,This save game appears to be damaged and cannot be used. Press /AButton/ to continue.,
GLZE020TO,System,This profile appears to be damaged and cannot be used. Press /AButton/ to continue.,
GLZD556TO,System,/AButton/ Zoom in,
GLZD557TO,System,/AButton/ Zoom out,
GLPC024TO,System,Show To-Do list on screen?,
GLPC025TO,System,"While you were away, your game was automatically paused.",
GLPC026TO,System,Ok,
GLPC028TO,System,Defaults,
GLPC029TO,System,Back,
GLPC030TO,System,OPTIONS,
GLPC031TO,System,MAIN MENU,
GLPC032TO,System,EXIT GAME,
GLPC033TO,System,Controls,
GLPC034TO,System,CONTROLS,
GLPC035TO,System,Bindings,
GLPC036TO,System,Action Bindings,
GLPC037TO,System,Advanced,
GLPC038TO,System,Sensitivity,
GLPC039TO,System,Deadzone,
GLPC040TO,System,Camera,
GLPC041TO,System,Camera Settings,
GLPC042TO,System,Invert Camera Horiz.,
GLPC043TO,System,Invert Camera Vert.,
GLPC044TO,System,Invert 1st Person,
GLPC045TO,System,Show Goal Popups,
GLPC046TO,System,Graphics,
GLPC047TO,System,Graphics Options,
GLPC048TO,System,Full Screen,
GLPC049TO,System,V.Sync,
GLPC050TO,System,FSAA,
GLPC051TO,System,FSFX,
GLPC052TO,System,Adv. Shading,
GLPC053TO,System,Shadows,
GLPC054TO,System,Brightness,
GLPC055TO,System,Sound,
GLPC056TO,System,Sound Settings,
GLPC057TO,System,Master Volume,
GLPC058TO,System,FX Volume,
GLPC059TO,System,Music Volume,
GLPC060TO,System,Voice Volume,
GLPC061TO,System,Subtitles,
GLPC062TO,System,Hardware Accel.,
GLPC063TO,System,Advanced Settings,
GLPC064TO,System,Quit To Title,
GLPC065TO,System,"Are you sure you want to quit your game and go back to the title screen? If you haven't saved, your progress will be lost!",
GLPC066TO,System,Exit To Desktop,
GLPC067TO,System,Are you sure you want to stop playing Psychonauts?,
CAZF006TO,System,"This DOWSING ROD can be used to find deeper, more valuable PSITANIUM ARROWHEADS. Equip the DOWSING ROD and watch and listen to its changing color and sound. This is how it lets you know that you are getting closer to a DEEP ARROWHEAD.",
GLPC068TO,System,Lead PC Programmer,
GLPC069TO,System,Changes to hardware acceleration will not take effect until you restart the game.,
GLPC070TO,System,/AButton/ Play again,
GLPC071TO,System,Smart Camera,
GLPC072TO,System,Altitude Dampening,
GLPC074TO,System,Pitch,
GLPC075TO,System,Yaw,
GLPC076TO,System,Horizontal,
GLPC077TO,System,Vertical,
GLPC078TO,System,Horizontal Sensitivity,
GLPC079TO,System,Vertical Sensitivity,
GLPC080TO,System,Left /Joystick/,
GLPC081TO,System,Right /Joystick/,
GLPC082TO,System,/FirstKey/ or /SecondKey/,
