"Identifier","Context","Source string","Translation"
"ASCL001RA","Raz","Hey it works!",""
"ASCL002RA","Raz","What's up, Linda?",""
"ASCL003RA","Raz","I don't suppose I could just ride on top this time?",""
"ASCL004RA","Raz","You know, I'm not getting any more used to this.",""
"ASCL005RA","Raz","You haven't been eating algae again, have you?",""
"ASCL006LF","Linda","Prepare yourself for passage, human child.",""
"ASCL007RA","Raz","Ya--",""
"LLBF001RA","Raz","Okay, cough up the girl and no one gets hurt, fish!","Виплюнь дівчинку й ніхто не постраждає, рибо!"
"LLBF002LF","Linda","Rrrrrrrrroooooooooaaaahhhhh!","Р-р-р-р-ра-а-а-а-а-а-а-а-а-а-а!"
"LLBF003RA","Raz","Man, it's gonna be hard to find a new place to give you lumps.","Навіть не знаю, де тобі шишки залишати. На тобі вже рівного місця нема."
"LLLV001LF","Linda","Human child.",""
"LLLV002RA","Raz","Wha--who is that?",""
"LLLV003LF","Linda","It is I, the creature whose spirit was once--",""
"LLLV004LF","Linda","Um, over here. Behind you? Yes.",""
"LLLV005RA","Raz","Oh.",""
"LLLV006LF","Linda","The creature whose spirit was once enslaved by the evil one.",""
"LLLV007LF","Linda","You have unchained my soul, and now I shall repay you, powerful human child!",""
"LLLV008RA","Raz","Oh, uh... great! Well okay, show me what you did to my friend Lili!",""
"LLLV009LF","Linda","By the drowned spirit of Oblongata, it is done!",""
"LLLV010RA","Raz","Ah--",""
"LLAA000RA","Raz","Man, that must be full of sharp nails. Hate to swallow that!","Вона повністю набита цвяхами. Не хотілося б проковтнути її!"
"LLAA001RA","Raz","""Shaky Claim Day Care Center.""","«Хиткозаявний дитячий садок»."
"LLAA002RA","Raz","Wow, this must have been a pretty advanced ghost town down here if they had lawn gnomes.","Ого, розвинене було містечко, раз люди мали садових гномів."
"LLAA003RA","Raz","Hey, that helmet got spit at me in the Brain Tumbler vision!","Гей, це ж той шолом, яким у мене плюнули в мозкотумблерному сні!"
"LLAA004RA","Raz","I must have been fighting the Coach's idea of this monster.","Напевно, я бився з уявною тренером версією монстра."
"LLAA005RA","Raz","I mean, Linda.","Тобто, Лінди."
"LLAA006RA","Raz","Ooh, I wonder if I can find out what happened on that western I was watching. ",""
"LLAA007RA","Raz","Poor, gross little sucker fish! It can't breathe! I should kill it.","Бідна, але огидна риба-присосок! Вона задихається! Краще вбити її."
"LLAA008RA","Raz","Hey, I think I see a piece of teriyaki salmon jerky over there in that clam. Why don't you go eat that instead?","Гей, я там наче бачив в'ялене м'ясо лосося з теріякі в отій мушлі. Може краще його з'їси?"
"LLAA009RA","Raz","This freshwater lake coral is so pretty I just want to smash it.","Який гарний прісноводний корал. Так і хочеться його розбити."
"LLAA010RA","Raz","The creature's prints are still glowing! This must be where he brought Lili!","Сліди чудовиська досі сяють! Напевно, саме туди воно й віднесло Лілі!"
"LLAB000FO","Ford","Ah, poor little thing.","Ах, бідолашка."
"LLAB001RA","Raz","That ""poor little thing"" just tried to kill me about eight different ways.","Ця «бідолашка» намагалася мене вбити близько вісьмома різними способами."
"LLAB002FO","Ford","Well, that's not its fault.","Ну, вона в цьому не винна."
"LLAB003FO","Ford","This was once just a normal-sized lungfish, minding its own business in a mucus-lined air bubble beneath a semi-dry lake bed.","Колись це була звичайна дводишна рибка, яка спокійно жила у вистеленій слизом бульбашці на дні озера."
"LLAB004FO","Ford","But judging by the work done on it, I suspect Morry has mutated it, accelerated its growth, and has placed an implant in its brain to make it do his evil bidding.","Але судячи з її вигляду, хтось, припускаю, Моррі, мутував її, прискорив зріст і помістив імплант в мозок, аби вона виконувала його лихі накази."
"LLAB005RA","Raz","Whoa. Poor little thing.","О-ой. Бідолашка."
"LLAB006FO","Ford","Yeah. Go inside there and try to smash the implant! Use the Psycho-Portal I saw you steal from Sasha's lab.","Отож. Зазирни всередину й спробуй знищити імплант! Бери псипортал. Я бачив, як ти вкрав його з лабораторії Саші."
"LLAB007RA","Raz","Oh, uh, yeah. That works on big, scary monsters?","А, е-е, точно. А він працює на великих, страшних монстрах?"
"LLAB008FO","Ford","Oh, monster-schmonster! That thing is more afraid of you than you are of it! ","Ой, сам ти монстр! Вона боїться тебе більше, ніж ти її!"
"LLAB009FO","Ford","Now git in there!","Залазь уже!"
"LLAC000LF","Linda","Please... my home is your home.",""
"LLAC001LF","Linda","I think I have some Teriyaki Salmon Jerky in one of these mud holes around here...",""
"LLAC002RA","Raz","No, that's cool. Why don't you just relax. I'd like to poke around.",""
"LLAC003LF","Linda","As you wish, human child.",""
"LLAC004RA","Raz","Hey, Linda?",""
"LLAC005LF","Linda","Yes.",""
"LLAC006RA","Raz","Could you take me back to camp now?",""
"LLAC007RA","Raz","Could you take me back to the Asylum?",""
"LLAC008RA","Raz","Nothing. I just wanted to make sure you're not dead.",""
"LLAC009LF","Linda","As you wish.",""
"LLAD001RA","Raz","Sorry. False alarm.",""
"LLAD002LF","Linda","(Sigh.)",""
"LLAD003RA","Raz","Thanks, Linda!",""
"LLAD004LF","Linda","Um-hm.",""
"LLZF000TO","System","Punch coral to break it.",""
"LLZZ000TO","System","Shakey Claim Nail Factory",""
