"Identifier","Context","Source string","Translation"
"MCAB001RA","Raz","Coach Oleander?","Тренер Олеандр?"
"MCAB003OL","Oly","He runs a butcher shop. He wants to make food out of them.","У нього власна м'ясна лавка. Для нього він просто їжа."
"MCAB004FO","Ford","That's right. Morry's old man was a butcher! It looks like your childhood memories of the circus got all mixed up with his childhood memories of his dad's butcher shop.","Точно. Батько Моррі був м'ясником! Схоже, твої спогади про цирк змішалися з його спогадами про м'ясну лавку батька."
"MCAB005RA","Raz","My memories were bad enough. This is just gross.","Мої спогади і без того були поганими. Здавалося б, куди ще гидкіше."
"MCAB006RA","Raz","Uh oh.","Ой-йой."
"MCAB007FO","Ford","You'd better keep that kid out of trouble.","Краще приглядай за цим хлопаком."
"MCAB008FO","Ford","With your brains all scrambled like this, what happens to him, happens to you!","Ваші розуми тісно зв'язані, тому все, що трапляється з ним, трапляється й із тобою!"
"MCAB009OL","Oly","Ahhh! Help!","А-а-а! Допоможіть!"
"MCAC002OL","Oly","Come here, little bunny!","Сюди, кролику!"
"MCAC005OL","Oly","Don't run or else Daddy's gonna kill you.","Не убігай, інакше тато тебе вб'є."
"MCAC006OL","Oly","Buuuuuunnnneeeeee!","Кро-о-о-о-о-оли-и-и-и-ику!"
"MCAC007OL","Oly","Bun-bun-bun!","Кро-кро-кролику!"
"MCAC008OL","Oly","Please, Mr. Bun!","Будь ласка, пане Вухань!"
"MCBI004RA","Raz","Hey, hey. Little Oly!","Гей, гей. Тихіше, Олі!"
"MCBI005RA","Raz","It's okay, those monsters are gone now.","Усе гаразд, із чудовиськами покінчено."
"MCBI009RA","Raz","Who's coming?","Хто йде?"
"MCBI011RA","Raz","Your dad... the butcher?","Твій тато... м'ясник?"
"MCBI012OL","Oly","He says little bunnies are good for nothing.","Він каже, що кролики ні на що не годяться."
"MCBI013OL","Oly","Nothing but food!","Ні на що, крім їжі!"
"MCBI014BU","Butcher","HEEEEEEEEERE LITTLE BUNNIES!","СЮ-Ю-Ю-ЮДИ-И-И, КРОЛЯТА-А-А!"
"MCBI015OL","Oly","Ahhhhhhhhhhhh!","А-а-а-а-а-а-а-а-а-а!"
"MCBI016BU","Butcher","DON'T RUN OR ELSE DADDY'S GONNA KILL YA!!!","НЕ ТІКАЙТЕ, ІНАКШЕ ТАТКО ВАС ВБ'Є!!!"
"MCAE000BU","Butcher","Here bunny, bunny, bunny!","Сюди, кроля, кроля, кроля!"
"MCAE002BU","Butcher","I'm not gonna hurt you!","Я тебе не скривджу!"
"MCAE003BU","Butcher","COME HERE BUNNY!","СЮДИ, КРОЛИКУ!"
"MCAE004BU","Butcher","Don't run or else Daddy's gonna kill ya!","Не тікай, інакше тато тебе вб'є!"
"MCAE008BU","Butcher","Ah-ha-ha-ha!","Аха-ха-ха-ха!"
"MCAJ006EV","Evil","Rrrarggrmble-grmble!","Р-р-р-рг-г-г! (бурчить)"
"MCAJ007EV","Evil","What's going on here? What have you done to our circus?","Якого чорта тут відбувається? Що ти зробив з нашим цирком?"
"MCAJ008RA","Raz","Dad!","Тату!"
"MCAJ009EV","Evil","Polluted! Perverted! This looks like the work of MENTALISTS!","Усе загадили, спаплюжили! Впізнаю почерк МЕНТАЛІСТІВ!"
"MCAJ010RA","Raz","I can explain!","Я все поясню!"
"MCAJ011EV","Evil","Have you been associating with PSYCHICS?","Ти що, зв'язався з ЕКСТРАСЕНСАМИ?"
"MCAJ012RA","Raz","Dad, I--","Тату, я..."
"MCAJ013EV","Evil","Psychics! Fortune tellers! They killed your grandfather! They cursed our entire family to die in water!","Екстрасенси! Ворожки! Вони вбили твого діда! І прокляли всю нашу родину на втоплення!"
"MCAJ014RA","Raz","Yes, but--","Так, але..."
"MCAJ015EV","Evil","Including you, Razputin, and me. But I'm going to live, you know why? Because I'm still an acrobat. ","Тебе в тому числі, Разпутіне. І мене. Але я виживу. Знаєш чому? Бо я все ще акробат."
"MCAJ016EV","Evil","Let's see if you are!","Подивимось, чи ти теж!"
"MCAK000EV","Evil","What's it going to be, son? Die in the water? Or show me what you got?","Яку долю ти обереш, синку? Утонути чи показати, на що здатен?"
"MCAL001EV","Evil","Let's see if you remember your training!","Подивимось, чи пам'ятають у тебе руки!"
"MCAL002EV","Evil","Quick! Up here! Before the cold clammy hand of fear pulls you under!","Швидко! Сюди! Поки вогка й холодна рука страху тебе не затягнула!"
"MCAL003EV","Evil","Razputin!","Разпутіне!"
"MCAL004EV","Evil","Up here!","Вище!"
"MCAL007EV","Evil","Maybe if you spent more time practicing your acrobatics and less time reading those comic books you'd be up here by now!","Може, якби ти більше тренувався, а не комікси читав, то вже був би нагорі!"
"MCAL009EV","Evil","Finally!","Нарешті!"
"MCAL011EV","Evil","Mmm. Pretty good. BUT NOT GOOD ENOUGH.","М-м. Непогано. АЛЕ НЕДОСТАТНЬО."
"MCAL013EV","Evil","Hey, son. Catch!","Лови, синку!"
"MCAL016EV","Evil","Think fast!","Шевели мізками!"
"MCAL017EV","Evil","Here you go!","Ось тобі!"
"MCAL018EV","Evil","You used to LIKE to play catch with me!","А колись ти ЛЮБИВ грати зі мною!"
"MCAL019EV","Evil","Incoming!","Летить!"
"MCAL020EV","Evil","Little help?","Подати тобі руку?"
"MCAL021EV","Evil","Well, just as well. One fewer psychic in the world!","От і все. Одним екстрасенсом у світі менше!"
"MCAM000RA","Raz","Dad! I made it!","Тату! Я зміг!"
"MCAM002RA","Raz","No, I used the acrobatics you taught me!","Ні, я показав акробатику, якій у тебе навчився!"
"MCAM011BU","Butcher","Make that GROUND. Ha ha ha.","А краще В ЗЕМЛЮ. Ха-ха-ха."
"MCAN000GD","Augustus","Razputin...","Разпутіне..."
"MCFU003GD","Augustus","What is your brain doing out here in this tank with this… other brain?","Що твій мозок робить у танку з... іншим мозком?"
"MCFU004GD","Augustus","And who are all these unconscious people? ","І хто всі ці непритомні люди?"
"MCFU005GD","Augustus","What have you gotten yourself involved with?","У що ти вже вляпався?"
"MCFU007GD","Augustus","Is that really...","Я правда..."
"MCFU008GD","Augustus","Is that really how I look in your mind?","Так виглядаю у твоїй свідомості?"
"MCFU010GD","Augustus","I don't hate psychics! I used my psychic connection with you to find you, and to project myself into your mind.","Я не ненавиджу їх! Завдяки психічному зв'язку з тобою, я зміг знайти тебе та проєктувати себе у твій розум."
"MCFU012GD","Augustus","Son, I could never hate you. I only wanted you to be happy, Razputin. And safe. ","Синку, я не ненавидів тебе. Я просто хотів, щоб ти був щасливий, Разпутіне. І в безпеці."
"MCFU013GD","Augustus","Our family has many enemies.","У нашої родини багато ворогів."
"MCFU016GD","Augustus","I have a LOT more hair than that!","У реального мене ЗНАЧНО більше волосся!"
"MCFU017GD","Augustus","Now, son, we have to carefully unweave your psyche from that other brain.","А тепер, синку, нам треба обережно відокремити твою психіку від іншого мозку."
"MCFU018GD","Augustus","We don't want anything bad to happen while your mind is in this tangled state. The damage could be permanent.","У такому переплутаному стані, будь-яка завдана шкода може стати непоправною."
"MCFU020BU","Butcher","NEVER!","НІЗАЩО!"
"MCFU022BU","Butcher","And I think I can… juggle now!","А я, здається... навчився жонглювати!"
"MCFU023EV","Evil","Heh heh heh!","Хе-хе-хе!"
"MCFU025GD","Augustus","This is your mind, so YOU are the strong one here.","Це твій розум, отже сильніший тут ТИ."
"MCFU026GD","Augustus","What I'm about to give you, my son--you must take care of it. Because it's everything I've got.","Зараз я тобі дещо дам, синку. Користуйся цим з умом, бо це все, що в мене є."
"MCVI009GD","Augustus","Let's go inside.","Ходімо всередину."
"MCVI011GD","Augustus","Oh, I know a lot of it. While you were out I... poked around a bit. ","О, я й так багато знаю. Поки ти був у відключці, я тут вже полазив."
"MCVI012RA","Raz","You what?","Ти... що?"
"MCVI014RA","Raz","Hey!","Гей!"
"MCAC003OL","Oly","I'm not going to hurt you!","Я тебе не скривджу!"
"MCAD000OL","Oly","Ow!","Ой!"
"MCAD001OL","Oly","Ahh!","Ах!"
"MCAD002OL","Oly","My face!","Прямо в лице!"
"MCAD003OL","Oly","Hey, that hurts!","Гей, боляче ж!"
"MCAD004OL","Oly","Hellllp!","Поможі-іть!"
"MCBI001OL","Oly","Help!","Допоможи!"
"MCBI003OL","Oly","You gotta help me protect the bunnies!","Допоможи мені захистити кроликів!"
"MCBI006RA","Raz","The bunnies are safe. We're all safe!","Кролики в безпеці. І ми теж!"
"MCBI007OL","Oly","No, it's not safe!","Ні, ні в якій ми не в безпеці!"
"MCBI008OL","Oly","He's coming!","Він іде!"
"MCBI010OL","Oly","My dad!","Мій тато!"
"MCAF000BU","Butcher","Hnnnnnnng!","Гн-н-н-н-н!"
"MCAF001BU","Butcher","Grrrrrrrk!","Гр-р-р-р-р!"
"MCAF002BU","Butcher","Rrrrrrrrrrng!","Р-р-р-рг-г!"
"MCAG000BU","Butcher","Hnnnnnn-ah!","Гн-н-н-н-н... ах!"
"MCAH000BU","Butcher","Gahhhhh!","А-а-а-а-ах!"
"MCAH001BU","Butcher","Ahhhhh!","А-а-ах-х!"
"MCAH002BU","Butcher","Oooof!","У-у-уф!"
"MCAI000BU","Butcher","Ahhh! Gahhh!","А-ах! Га-ах!"
"MCAI001BU","Butcher","Man, those things hurt!","Які ж болючі, зараза!"
"MCAI002BU","Butcher","Stupid, spikey, flaming, juggling pins! Who invented those?","Кляті колючі, підпалені кеглі для жонглювання! Хто їх вигадав?"
"MCAI003BU","Butcher","Ahhh! Puncture wound. Flaming puncture wound. Grr.","А-ах! Колота рана. Навіть колотий опік. Гр-р."
"MCAI004BU","Butcher","Oh, jeez. Not again!","О, Боже. Тільки не знову!"
"MCAJ001BU","Butcher","Ahhh!","А-ах!"
"MCAJ003BU","Butcher","Hyyyyy-up!","Але-е-е-оп!"
"MCAJ004BU","Butcher","Ha!","Ха!"
"MCAJ005BU","Butcher","Ha ha ha ha!","Ха-ха-ха-ха!"
"MCAL000EV","Evil","Here comes the water, boy!","Вода підступає, хлопчику мій!"
"MCAL005EV","Evil","Come on, son!","Ну ж бо, синку!"
"MCAL006EV","Evil","You always were the slow one!","Ти в нас завжди був млявим!"
"MCAL008EV","Evil","Hm. Come on, we're not done yet.","Гм. Давай, ми ще не закінчили."
"MCAL010EV","Evil","Don't stop now. The water's still rising!","Зупинятися рано. Вода ще підіймається!"
"MCAL012EV","Evil","Pretty good, pretty good.","Непогано, доволі непогано."
"MCAL014EV","Evil","Ha ha ha.","Ха-ха-ха."
"MCAL015EV","Evil","No, you can't really catch those. I was just testing ya.","Ні, насправді їх не треба ловити. Я тебе перевіряв."
"MCAM001EV","Evil","You cheated!","Ти махлював!"
"MCAM003EV","Evil","Don't lie to me, cheater! You crystal ball readers always cheat!","Не бреши мені, плутяго! Ви, ворожбити, завжди махлюєте!"
"MCAM004EV","Evil","You're no son of mine.","Ти мені не син."
"MCAM005EV","Evil","Raah!","Ра-а!"
"MCAM006RA","Raz","Oly! Are you okay? Where's your dad?","Олі! Ти як? Де твій тато?"
"MCAM007OL","Oly","He's over there. Talking to your dad.","Він там. Розмовляє з твоїм."
"MCAM008EV","Evil","He did WHAT?","ЩО він зробив?!"
"MCAM009RA","Raz","Uh-oh.","Ой-йой."
"MCAM010EV","Evil","Somebody's gonna get GROUNDED.","Йому вдома влетить. Опущу його з небес на землю."
"MCAM012EV","Evil","Hahaha!","Ха-ха-ха!"
"MCFU001GD","Augustus","Razputin! I see your skull is as hard to penetrate as ever!","Разпутіне! Бачу, твій черепок міцний як ніколи!"
"MCFU006EV","Evil","Psychics! He's been cavorting with filthy, cheating psychics!","Екстрасенсорику! Він розважався із цими бридкими шулерами!"
"MCFU009EV","Evil","Man, do I hate psychics, and seeing my son happy!","Найбільше я ненавиджу дві речі — екстрасенсів та бачити свого сина щасливим!"
"MCFU011RA","Raz","But how can you hate me for being psychic, if you're psychic too?","І чому ж ти ненавидиш мене за ці сили, якщо сам такий же?"
"MCFU014EV","Evil","Ahhhhhh!","А-а-а-ах!"
"MCFU015EV","Evil","Ayeeeee!","Е-е-е-е-ей!"
"MCFU019EV","Evil","Unweave? Detangle?","Відокремити? Розплутати?"
"MCFU021EV","Evil","I like it this way. I mean, look at how huge I am!","А мені це подобається. Диви, який я здоровий!"
"MCVI000RA","Raz","Ah! Ah! Bunnies! No! No meat! Ah!","Ах! А! Кролики! Ні! Досить із мене м'яса! А-а!"
"MCVI001GD","Augustus","Shhh. No more. No more meat. Look.","Тс-с. З м'ясом покінчено. Поглянь."
"MCVI002OL","Oly","There you go. Goooood little bunny. Ha ha!","Ось так. Хоро-о-о-оше крільчатко. Ха-ха!"
"MCVI003OL","Oly","Hey, thanks for helping me save the bunnies. And for talking to my dad.","Гей, дякую, що допоміг врятувати кроликів. І що поговорив із моїм татом."
"MCVI004RA","Raz","Uh, no problem, little Oly.","Е-е, та без проблем, Олі."
"MCVI005OL","Oly","Bye! Bye! Wave goodbye, Mr. Bun!","Па-па! Помахай, пане Вухань!"
"MCVI006RA","Raz","Where's he going?","Куди це він?"
"MCVI007GD","Augustus","We're separating the brains now Razputin.","Ваші мізки відділяються, Разпутіне."
"MCVI008GD","Augustus","He'll be fine.","З ним усе буде гаразд."
"MCVI010RA","Raz","Man, I can't wait to tell you about all the messed up stuff that happened.","Мені вже не терпиться розповісти тобі, яка тут чортівня відбувалась."
"MCVI013GD","Augustus","Tell me about this Lili person.","Розкажи-но, хто така ця Лілі?"
"MCAO000OL","Oly","No, not me! Grab the bunny! I'm not a bunny! I'm not!","Ні, не мене! Хапай кролика! Я не кролик! Ні!"
"MCAP000OL","Oly","Haha. Thanks!","Ха-ха. Дяки!"
"MCAQ000OL","Oly","Oh, I got you, Mr. Bunny!","Попався, пане Вухань!"
"MCAQ001OL","Oly","Now, let's get you to safety!",""
"MCAR000OL","Oly","Weeee!",""
"MCAB011OL","Oly","You gotta help me save the bunny!","Допоможи мені врятувати кролика!"
"MCAB012OL","Oly","If he'd just hold still I could catch him and hide him from my dad.","Якби ж він не був таким непосидючим, я б спіймав його та сховав від тата."
"MCCA000OL","Oly","Oh, hi. My name is Morceau Oleander. But you can call me Morry. Or Oly.","О, привіт. Мене звати Морсо Олеандр. Можеш звати просто Моррі. Або Олі."
"MCCA001RA","Raz","What are you doing in my mind?","Що ти робиш у мене в розумі?"
"MCCA002OL","Oly","How did you get in my happy meadow? Nobody's supposed to know about it.","Як ти знайшов мій затишний лужок? Ніхто не мав про нього знати."
"MCCA003OL","Oly","You didn't tell my dad about it, did you?","Ти ж не розкажеш про нього моєму татові?"
"MCCA004BU","Butcher","(evil laughter)","(зловісний сміх)"
"MCCA005OL","Oly","(frightened gasp)","(налякано зойкає)"
"MCCA006OL","Oly","That's him! Oh no! Come on, little bunny. We'll be safe in here!","Це він! О, ні! Хутчіш, кролику. Там ми будемо в безпеці!"
"MCIN000RA","Raz","Okay, the circus I remember from my childhood was definitely not made of meat--the last time I checked.","Клянусь, цирк з часів мого дитинства точно не був зроблений з м'яса. Принаймні, коли я його бачив востаннє."
"MCIN001OL","Oly","No! No! Little bunny don't go in there!","Ні! Ні! Не йди туди, кролику!"
"MCIN002OL","Oly","That's a bad place! That's a bad place for bunnies!","Там погано! Для кроликів тим паче!"
"MCAA000OL","Oly","We did it! We saved all the bunnies!","У нас вийшло! Ми врятували всіх кроликів!"
"MCAA001OL","Oly","Now it's time for the main event!","Але найважливіше ще попереду!"
"MCAA002OL","Oly","Come on!","Ходімо!"
"MCAS000OL","Oly","Come on! This is my favorite ride!","Нумо! Це мій улюблений атракціон!"
"MCAS001OL","Oly","Yeeeee-haw!  Ha-ha!","Їі-і-і-і-і-ха! Ха-ха!"
"MCAT000RA","Raz","(emotional sobs)",""
"MCAC009OL","Oly","(clicking noise, calling bunny)...that's it...(more clicking)...come here!",""
"MCAE009BU","Butcher","(clicking sounds, calling the bunny)",""
"MCAG001BU","Butcher","Ahhh-ugh!",""
"MCZE000TO","System","One brain redeemed for health.","Один мозок обміняно на здоров'я."
"MCZE001TO","System","Brains redeemed for health:","Мізків обміняно на здоров'я:"
"MCZE002TO","System","One cobweb turned in for a card.","Одну павутину обміняно на карту."
"MCZE003TO","System","Cobwebs turned in for cards:","Павутин обміняно на карти:"
"MCZE004TO","System","Cards turned in:",""
"MCZE005TO","System","Rank gained:","Здобуто рангів:"
"MCZE006TO","System","Bonus rank up for finding 8 Scavenger Hunt items!",""
"MCZE007TO","System","Bonus rank up for finding all 16 Scavenger Hunt items!",""
"MCZE008TO","System","You have no PSI CARDS, SCAVENGER HUNT ITEMS, MENTAL COBWEBS, or reclaimed BRAINS to redeem!",""
"MCZG000TO","System","Razputin, your journey has made you much wiser, so why do you still hoard your goods like a miser?  The items you've scavenged, the webs, the cards, and brains--just to redeem them is all that remains!","Разпутіне, за час пригоди ти набрався досвіду та зміг висот досягнути, то чого ж ти досі скарбуєш набуте? Усе, що ти зібрав, будь то мізки, карти, павутина, обміняй їх в цій місцині!"
"MCZG001TO","System","Cards redeemed:","Використано карт:"
"MCZF000TO","System","Press {YButton} for Redemption.",""
"MCAU000FO","Ford","Next time his cleaver gets stuck in the ground, run up his arm and punch him in his fat head.",""
"MCZG002TO","System","One brain redeemed for health","Один мозок обміняно на здоров'я"
"MCZG004TO","System","One cobweb turned in for a card","Одну павутину обміняно на карту."
"MCZZ000TO","System","World's Skinniest Guy DEAD","Найтонкіший хлоп у світі МЕРТВИЙ"
"MCZZ001TO","System","Bunnies ALIVE","Кролики ЖИВІ"
"MCZZ002TO","System","Kid Lasagna DEAD","Дитя-лазанья МЕРТВЕ"
"MCZZ003TO","System","Alligator Boy DEAD","Леґінь-алігатор МЕРТВИЙ"
"MCZZ004TO","System","Meat ALIVE","М'ясо ЖИВЕ"
"MCZF001TO","System","Press {YButton} to pick up.","Натисніть {YButton}, щоб підняти."
