"Identifier","Context","Source string","Translation"
"ASBR001BO","Boyd","...the Milkman...","...the Milkman..."
"ASBR002BO","Boyd","...those little green cops...","...those little green cops..."
"ASBR003BO","Boyd","...the military-industrial complex...","...the military-industrial complex..."
"ASBR004BO","Boyd","...the suits...","...the suits..."
"ASBR005BO","Boyd","...the analyticals, man...","...the analyticals, man..."
"ASBR006BO","Boyd","...those Bermuda Triangle sharks","...those Bermuda Triangle sharks"
"ASBR007BO","Boyd","...all them haters...","...all them haters..."
"ASBR008BO","Boyd","...Hernando...","...Hernando..."
"ASBR009BO","Boyd","...that little fat kid with the bunny...","...that little fat kid with the bunny..."
"ASBR010BO","Boyd","...the doctors back at the clinic...","...the doctors back at the clinic..."
"ASBR011BO","Boyd","...the pelicans...","...the pelicans..."
"ASBR012BO","Boyd","...the squirrels...","...the squirrels..."
"ASBR013BO","Boyd","...the manager of that boy band...","...the manager of that boy band..."
"ASBR014BO","Boyd","...those eggheads in their ivory tower...","...those eggheads in their ivory tower..."
"ASBR015BO","Boyd","...that guy with the eye patch...","...that guy with the eye patch..."
"ASBR016BO","Boyd","...the psychowhatsits...","...the psychowhatsits..."
"ASBR017BO","Boyd","...the freaky hunchback girl who loves brains so much...","...the freaky hunchback girl who loves brains so much..."
"ASBR018BO","Boyd","...the dairy industry...","...the dairy industry..."
"ASBR019BO","Boyd","...the kid with the goggles...","...the kid with the goggles..."
"ASBR020BO","Boyd","...the dog track regulators...","...the dog track regulators..."
"ASBR021BO","Boyd","...the tuna canneries...","...the tuna canneries..."
"ASBR022BO","Boyd","...the national park system...","...the national park system..."
"ASBR023BO","Boyd","...big oil...","...big oil..."
"ASBR024BO","Boyd","...organized labor...","...organized labor..."
"ASBR025BO","Boyd","...the rodeo clown cartel...","...the rodeo clown cartel..."
"ASBR026BO","Boyd","...the media...","...the media..."
"ASBR027BO","Boyd","...the cows...","...the cows..."
"ASBR028BO","Boyd","...foreign toy makers...","...foreign toy makers..."
"ASBR030BO","Boyd","...the intelligencia...","...the intelligencia..."
"ASBR031BO","Boyd","...the fluoride producers","...the fluoride producers"
"ASBR032BO","Boyd","...a secret doomsday cult...","...a secret doomsday cult..."
"ASBR033BO","Boyd","...the president's brother...","...the president's brother..."
"ASBR034BO","Boyd","...my first cat Seymour...","...my first cat Seymour..."
"ASBR035BO","Boyd","...one of my nostril hairs...","...one of my nostril hairs..."
"ASBR036BO","Boyd","...the intelligence community...","...the intelligence community..."
"ASBR037BO","Boyd","...the five richest families in the country...","...the five richest families in the country..."
"ASBR038BO","Boyd","...all those stupid crows...","...all those stupid crows..."
"ASBR039BO","Boyd","...some sort of power, you know...","...some sort of power, you know..."
"ASBR040BO","Boyd","...and...","...and..."
"ASBR041BO","Boyd","...or else, maybe...","...or else, maybe..."
"ASBR042BO","Boyd","...no, no, wait. I mean...","...no, no, wait. I mean..."
"ASBR043BO","Boyd","...in conjunction with...","...in conjunction with..."
"ASBR044BO","Boyd","...with the full blessing of...","...with the full blessing of..."
"ASBR045BO","Boyd","...with the backing of...","...with the backing of..."
"ASBR046BO","Boyd","...who are merely the pawns of...","...who are merely the pawns of..."
"ASBR047BO","Boyd","...who are the puppet masters of...","...who are the puppet masters of..."
"ASBR048BO","Boyd","...went to the prom with...","...went to the prom with..."
"ASBR049BO","Boyd","...ate a whole jar of olives with...","...ate a whole jar of olives with..."
"ASBR050BO","Boyd","...are working for...","...are working for..."
"ASBR051BO","Boyd","...are telling my location to...","...are telling my location to..."
"ASBR052BO","Boyd","...made a deal back in '68 with...","...made a deal back in '68 with..."
"ASBR053BO","Boyd","...sold their soul to...","...sold their soul to..."
"ASBR054BO","Boyd","...are controlled by...","...are controlled by..."
"ASBR055BO","Boyd","...bought votes to protect...","...bought votes to protect..."
"ASBR056BO","Boyd","...are doing the dirty work of...","...are doing the dirty work of..."
"ASBR057BO","Boyd","...got in bed with...","...got in bed with..."
"ASBR058BO","Boyd","...signed a secret treaty with...","...signed a secret treaty with..."
"ASBR059BO","Boyd","...has been officially linked with...","...has been officially linked with..."
"ASBR060BO","Boyd","...know the truth.","...know the truth."
"ASBR061BO","Boyd","...won't stop visiting me.","...won't stop visiting me."
"ASBR062BO","Boyd","...keep sparring with me.","...keep sparring with me."
"ASBR063BO","Boyd","...have been spitting on me all day.","...have been spitting on me all day."
"ASBR064BO","Boyd","...do this horrible thing, but in conjunction with who? Or whom?","...do this horrible thing, but in conjunction with who? Or whom?"
"ASBR065BO","Boyd","...are crawling all over my skin.","...are crawling all over my skin."
"ASBR066BO","Boyd","...bit me all night so I couldn't sleep.","...bit me all night so I couldn't sleep."
"ASBR067BO","Boyd","...have everyone fooled.","...have everyone fooled."
"ASBR068BO","Boyd","...were digging away at the plastics.","...were digging away at the plastics."
"ASBR069BO","Boyd","...were dialing in through the optics.","...were dialing in through the optics."
"ASBR070BO","Boyd","...stole my theories and reprinted them incorrectly, to discredit them.","...stole my theories and reprinted them incorrectly, to discredit them."
"ASBR071BO","Boyd","...are not to be trusted.","...are not to be trusted."
"ASBR072BO","Boyd","...have been living off the teat of the dairy industry.","...have been living off the teat of the dairy industry."
"ASBR073BO","Boyd","...have been fixing oil prices...","...have been fixing oil prices..."
"ASBR074BO","Boyd","...assassinated the one man in their way...","...assassinated the one man in their way..."
"ASBR075BO","Boyd","...pretty much control everything.","...pretty much control everything."
"ASBR076BO","Boyd","...pick who lives and who dies and what the football scores are going to be every week.","...pick who lives and who dies and what the football scores are going to be every week."
"ASBR077BO","Boyd","...and they obviously...","...and they obviously..."
"ASBR078BO","Boyd","...and I know they...","...and I know they..."
"ASBR079BO","Boyd","...but they can't hide that they...","...but they can't hide that they..."
"ASBR080BO","Boyd","...ha! Like I don't know that they...","...ha! Like I don't know that they..."
"ASBR081BO","Boyd","...and, let's just say for now that they...","...and, let's just say for now that they..."
"ASBR082BO","Boyd","...and, if I know anything, I know that they...","...and, if I know anything, I know that they..."
"ASBR083BO","Boyd","...and sure as the nose on my face, I am sure they...","...and sure as the nose on my face, I am sure they..."
"ASBR084BO","Boyd","...to get ...","...to get ..."
"ASBR085BO","Boyd","...because they want ...","...because they want ..."
"ASBR086BO","Boyd","...in order to monopolize...","...in order to monopolize..."
"ASBR087BO","Boyd","...to keep down...","...to keep down..."
"ASBR088BO","Boyd","...so the people never find out about...","...so the people never find out about..."
"ASBR089BO","Boyd","...and who wins? Them. Who loses?","...and who wins? Them. Who loses?"
"ASBR090BO","Boyd","...all in a big fight over...","...all in a big fight over..."
"ASBR091BO","Boyd","...the truth.","...the truth."
"ASBR092BO","Boyd","...all of us.","...all of us."
"ASBR093BO","Boyd","...the whole sack of lies.","...the whole sack of lies."
"ASBR094BO","Boyd","...the innocents.","...the innocents."
"ASBR095BO","Boyd","...the biggest conspiracy of all.","...the biggest conspiracy of all."
"ASBR096BO","Boyd","...the infrastructure.","...the infrastructure."
"ASBR097BO","Boyd","...the lap belt, man.","...the lap belt, man."
"ASBR098BO","Boyd","...the water supply.","...the water supply."
"ASBR099BO","Boyd","...the rotundra.","...the rotundra."
"ASBR100BO","Boyd","...the A.M. tenderizer.","...the A.M. tenderizer."
"ASBR101BO","Boyd","...last specimen of the super-virus.","...last specimen of the super-virus."
"ASBR102BO","Boyd","...the witnesses.","...the witnesses."
"ASBR103BO","Boyd","...my hooch.","...my hooch."
"ASBR104BO","Boyd","...the hanging udders.","...the hanging udders."
"ASBR105BO","Boyd","...a clean-burning, perpetual energy source.","...a clean-burning, perpetual energy source."
"ASBR106BO","Boyd","...a religious artifact with supposedly unimaginable powers.","...a religious artifact with supposedly unimaginable powers."
"ASBR107BO","Boyd","...exactly what, nobody knows.","...exactly what, nobody knows."
"ASBR108BO","Boyd","How long do they think they can hide that?","How long do they think they can hide that?"
"ASBR109BO","Boyd","I mean, who do they think they're fooling?","I mean, who do they think they're fooling?"
"ASBR110BO","Boyd","Can I really be the only person who sees this?","Can I really be the only person who sees this?"
"ASBR111BO","Boyd","Someone has to get this information to the people.","Someone has to get this information to the people."
"ASBR112BO","Boyd","If they find out I know this stuff, I'm dead.","If they find out I know this stuff, I'm dead."
"ASBR113BO","Boyd","Oh, man. This stuff is hot.","Oh, man. This stuff is hot."
"ASBR114BO","Boyd","...since the year dot.","...since the year dot."
"ASBR115BO","Boyd","...right under people's noses!","...right under people's noses!"
"ASBR116BO","Boyd","...and nobody seems to care!","...and nobody seems to care!"
"ASBR117BO","Boyd","Visiting hours are over!","Visiting hours are over!"
"ASBR118BO","Boyd","Why does that hydrant keep looking at me?","Why does that hydrant keep looking at me?"
"ASBR119BO","Boyd","You can pass it over the counter, but that don't make it over the counter!","You can pass it over the counter, but that don't make it over the counter!"
"ASBR120BO","Boyd","No insubordination, right boss? Right?","No insubordination, right boss? Right?"
"ASBR121BO","Boyd","Okay, Boss?","Okay, Boss?"
"ASBR122BO","Boyd","Hey, where is the boss?","Hey, where is the boss?"
"ASBR123BO","Boyd","Ignore it, Cooper!","Ignore it, Cooper!"
"ASBR124BO","Boyd","I have to get rid of some of this stuff!","I have to get rid of some of this stuff!"
"ASBR125BO","Boyd","I have to stay focused.","I have to stay focused."
"ASBR126BO","Boyd","No distractions!","No distractions!"
"ASBR127BO","Boyd","What???","What???"
"ASBR128BO","Boyd","Oh, that doesn't fit. That doesn't fit at all.","Oh, that doesn't fit. That doesn't fit at all."
"ASBR129BO","Boyd","Well, maybe if I forget about that other part.","Well, maybe if I forget about that other part."
"ASBR130BO","Boyd","Wait, why did I say that?","Wait, why did I say that?"
"ASBR131BO","Boyd","Oh, Boyd. You've got this all wrong.","Oh, Boyd. You've got this all wrong."
"ASBR132BO","Boyd","Did I just think that? Or did someone MAKE me think it?","Did I just think that? Or did someone MAKE me think it?"
"ASBR133BO","Boyd","But when that happens, they turn it into CHOCOLATE milk, and nobody can tell the difference!","But when that happens, they turn it into CHOCOLATE milk, and nobody can tell the difference!"
"ASBR134BO","Boyd","You know what I mean? Amounts tendered? Yeah?","You know what I mean? Amounts tendered? Yeah?"
"ASBR135BO","Boyd","The squirrels... have eyes.","The squirrels... have eyes."
"ASBR136BO","Boyd","Listen to me, listen to me, LISTEN TO ME!","Listen to me, listen to me, LISTEN TO ME!"
"ASBR137BO","Boyd","Shut up, shut up, SHUT UP!","Shut up, shut up, SHUT UP!"
"ASBR138BO","Boyd","Shhh! No, wait. Say that again?","Shhh! No, wait. Say that again?"
"ASBR139BO","Boyd","They think the windows are tinted, but they ain't tinted nearly enough!","They think the windows are tinted, but they ain't tinted nearly enough!"
"ASBR140BO","Boyd","Of course the milk's got spider webs in it! Taste it!","Of course the milk's got spider webs in it! Taste it!"
"ASBR141BO","Boyd","I scream, you scream, we all scream, we all scream...","I scream, you scream, we all scream, we all scream..."
"ASBR142BO","Boyd","The ice cream's in the web, the web is in the cream.","The ice cream's in the web, the web is in the cream."
"ASBR143BO","Boyd","Oh, you think that's regular yarn, do you?","Oh, you think that's regular yarn, do you?"
"ASBR144BO","Boyd","They come, they whisper, they watch, they chop, chop, chop.","They come, they whisper, they watch, they chop, chop, chop."
"ASBR145BO","Boyd","What's that on your head? That's no hat. Maybe you could tell your hat to shut up? Or at least, ask me the right questions?","What's that on your head? That's no hat. Maybe you could tell your hat to shut up? Or at least, ask me the right questions?"
"ASBR146BO","Boyd","I wonder if I'm on camera right now. Ha! What, am I crazy? Of course I am!","I wonder if I'm on camera right now. Ha! What, am I crazy? Of course I am!"
"ASBR147BO","Boyd","Hi mom! Look at me! I'm tangled in a web of deception! How's uncle G?","Hi mom! Look at me! I'm tangled in a web of deception! How's uncle G?"
"ASBR148BO","Boyd","G-man, who are you working for? Who is G?","G-man, who are you working for? Who is G?"
"ASBR149BO","Boyd","G-Man, Go-man, Goat Man I thought you worked for me?","G-Man, Go-man, Goat Man I thought you worked for me?"
"ASBR150BO","Boyd","My father, he was a good man, but he served a cruel master.","My father, he was a good man, but he served a cruel master."
"ASBR151BO","Boyd","Mom, are you sure these are your children?","Mom, are you sure these are your children?"
"ASBR152BO","Boyd","These are not my dot to dots. These are not my babies.","These are not my dot to dots. These are not my babies."
"ASBR153BO","Boyd","...but of course you know all this because you're Australian...","...but of course you know all this because you're Australian..."
"ASBR154BO","Boyd","...and then it comes out of those wires over there, and goes straight into my head, with all its little audio tricks","...and then it comes out of those wires over there, and goes straight into my head, with all its little audio tricks"
"ASBR155BO","Boyd","I don't want to be a lead weight on the table.","I don't want to be a lead weight on the table."
"ASBR156BO","Boyd","I see myself more as a turtle with a rocket strapped to its back!","I see myself more as a turtle with a rocket strapped to its back!"
"ASBR157BO","Boyd","...and he waits and he waits...","...and he waits and he waits..."
"ASBR158BO","Boyd","...this milk can't stay fresh forever...","...this milk can't stay fresh forever..."
"ASBR159BO","Boyd","...something's got to give...","...something's got to give..."
"ASBR160BO","Boyd","How many are there? I count fourteen, but that's not the number on my hand, that's not the number on my neck.","How many are there? I count fourteen, but that's not the number on my hand, that's not the number on my neck."
"ASBR161BO","Boyd","The truth lives in a small house on the edge of town.","The truth lives in a small house on the edge of town."
"ASBR162BO","Boyd","The truth is sleeping in glass box.","The truth is sleeping in glass box."
"ASBR163BO","Boyd","The truth is a colorful diamond.","The truth is a colorful diamond."
"ASBR164BO","Boyd","I'm dropping out of this yogurt convention. There's no fruit at the bottom.","I'm dropping out of this yogurt convention. There's no fruit at the bottom."
"ASBR165BO","Boyd","Hey! Lady! Where you going with that sweater?","Hey! Lady! Where you going with that sweater?"
"ASBR166BO","Boyd","Think you could get this past me? I'm the guard.","Think you could get this past me? I'm the guard."
"ASBR167BO","Boyd","I've got the truth. It's tucked in my cheeks. I'm not going to eat it right now.","I've got the truth. It's tucked in my cheeks. I'm not going to eat it right now."
"ASBR168BO","Boyd","Are you buying? Or are you spying?","Are you buying? Or are you spying?"
"ASBR169BO","Boyd","This is ugly. It's like a Cyclops with a million eyes!","This is ugly. It's like a Cyclops with a million eyes!"
"ASBR170BO","Boyd","The fire will start in menswear!","The fire will start in menswear!"
