"Identifier","Context","Source string","Translation"
"NINI001MI","Milla","You're in, darling!!!! you're in her mind!!!!",""
"NINI002MI","Milla","Tell me, what do you see?",""
"NINI003RA","Raz","I see a small, bunny-like animal thing.",""
"NINI004MI","Milla","Superb. i believe that bunny is the key to this whole nightmare.",""
"NINI005MI","Milla","Follow it, and it should lead you straight to the heart of the problem.",""
"NINI006RA","Raz","Check!!!!",""
"NINI007RA","Raz","Okay, mr. bun. you and i are going to be tight.",""
"NINI008RA","Raz","Where ever you go, i go. like two peas in a--",""
"NINI009RA","Raz","Hey!!!! come back here!!!!",""
"NINI010RA","Raz","Wait for me!!!!",""
"NINI011RA","Raz","I don't think i'm gonna hurt you!!!!",""
"NINI012MI","Milla","Careful, sweetheart. those thorn bushes are not a good time, trust me.",""
"NINI013MI","Milla","Watch out!!!!",""
"NINI014MI","Milla","Those censors want nothing but to destroy what doesn't belong!!!!",""
"NINI015MI","Milla","That means you, darling!!!!",""
"NINI016MI","Milla","Have you tried telekinesis yet, my <e?",""
"NINI017MI","Milla","Invisibility might work, <e.",""
"NINI018MI","Milla","Get on your bubble, darling, but try not to get it popped!!!!",""
"NINI019MI","Milla","I am firmly against children playing with fire, but i have to admit, it might just come in handy here.",""
"NINI020MI","Milla","Nice work, darling!!!!",""
"NINI021MI","Milla","My hero!!!!",""
"NINI022MI","Milla","Well played, my friend.",""
"NINI023MI","Milla","He's big, but i have faith in you young man.",""
"NINI024MI","Milla","Go get him!!!!",""
"NINI025MI","Milla","Get that key and we can free our friend from this horrible nightmare!!!!",""
"NINI026LI","Lili","Hey, somebody get me out of here!!!!",""
"NINI027LI","Lili","Helllp!!!!",""
"NINI028LI","Lili","This sucks.",""
"NINI029LI","Lili","I've pretty much had it with this dream.",""
"NINI030RA","Raz","Okay, i'm here. nightmares over, baby.",""
"NINI031LI","Lili","Really? so you already pwn up that lungfish and ripped the key out of it's dead body?",""
"NINI032RA","Raz","Uh. yeah. well, mostly. i mean, it's on my list. i mean--",""
"NINI033LI","Lili","You'll be right back.",""
"NINI034RA","Raz","In, like, two seconds.",""
"NINI035LI","Lili","Okay, i'm up here rooting for you.",""
"NINI036RA","Raz","One monster-guts-coverd key, coming up!!!!",""
"NINI037LI","Lili","Great!!!! you got the key from the hulking lungfish?",""
"NINI038RA","Raz","Oh, right. that's what i was supposed to do!!!!",""
"NINI039LI","Lili","(sigh)",""
"NINI040RA","Raz","Yeah, i'm pretty cool.",""
"NINI041LI","Lili","I liked the part where he screamed and burned.",""
"NINI042LI","Lili","I'll say. even though you do smell like overcooked fish.",""
"NINI043RA","Raz","Just doing my job, ma'am.",""
"NINI044MI","Milla","Great work, darling!!!!",""
"NINI045RA","Raz","Do i get to be a dfer now?",""
"NINI046MI","Milla","Well, you are now one merit badge closer, but there is still much to do.",""
"NINI047RA","Raz","I'm ready!!!! i'm ready!!!!",""
"NINI048MI","Milla","Okay, here you go.",""
"NINI049LI","Lili","You only saved me to get a merit badge?",""
"NINI050RA","Raz","Uh, no. i mean, sort--well, not really, but--you'd, you'd understand.  i mean, double fine!!!!",""
"NINI051RA","Raz","(falling sound)",""
"NIAB012RA","Raz","Meaning that i could just lift it up, or flip it over, or something.",""
"NIAB013RA","Raz","Maybe with a levitation popper. for instance.",""
