"Identifier","Context","Source string","Translation"
"SACO001RA","Raz","Oh, yeah. Come to poppa!","О, так. Ідіть до татка!"
"SACO002SA","Sasha","Raz, what have you done? This is not control! This is chaos!","Разе, що ти накоїв? Це не контроль! Це хаос!"
"SACO003SA","Sasha","I'll try to fix it. You stay here and keep their numbers under control.","Я спробую все полагодити. А ти залишайся і тримай їх під контролем."
"SAFB004SA","Sasha","This is a censor.","Це так званий цензор."
"SAIN001SA","Sasha","Welcome to my mind.","Ласкаво прошу до мого розуму."
"SAIN002RA","Raz","Huh. It's so empty.","Га. Він такий порожній."
"SAIN003RA","Raz","Uh, I mean--","Е-е, тобто..."
"SAIN004SA","Sasha","There's more here than meets the eye, but I've learned to keep it under strict control.","Він такий лише на перший погляд. Я навчився тримати його під суворим контролем."
"SAIN005SA","Sasha","And that's what I'm going to teach you: control.","Саме цьому я і вчитиму тебе: контролю."
"SAIN006SA","Sasha","Your feelings, your fears, your anger. You must learn to control them, focus them, concentrate them, and release them.","Будь то почуття, страхи, лють. Ти мусиш контролювати їх, фокусувати, концентрувати, і вивільняти."
"SAIN007RA","Raz","As therapy?","В якості терапії?"
"SAIN008SA","Sasha","No, as firepower!","Ні, вогневої міці!"
"SAIN009SA","Sasha","Say something hideous and horrible jumps out at you. Something so disgusting that it simply must die.","Уяви ситуацію, на тебе вистрибує щось огидне та мерзенне. Настільки жахливе, що воно просто зобов'язано вмерти."
"SAIN010SA","Sasha","Ahhh, oh, so tacky... I… can't... look... directly at it!","А-а-ах, ох, який несмак... Не... можу... дивитися!"
"SAIN011SA","Sasha","But I control those feelings, focus them, concentrate, and…","Але я контролюю ці почуття, фокусую їх, концентрую, і..."
"SAIN012SA","Sasha","…release!","Вивільняю!"
"SAIN013SA","Sasha","And the world is a better place.","І одразу стало легше жити."
"SAIN014SA","Sasha","Your turn.","Твоя черга."
"SAIN015RA","Raz","Okay...","Гаразд..."
"SAIN016RA","Raz","Hggfgg!  Gahhh!","Х-х-хф-ф! Гидота!"
"SAIN017SA","Sasha","Excellent. A victory for good taste.","Блискуче. Перемога на користь почуття смаку."
"SAIN018SA","Sasha","Now, you must strive for precision when targeting. Say you were set upon by multiple attackers.","Далі, ти маєш прагнути точності під час прицілювання. Скажімо, на тебе вибігло декілька ворогів."
"SAIN019SA","Sasha","Eh.","Ех."
"SAIN020SA","Sasha","Yecch.","Фу."
"SAIN021SA","Sasha","Bleh.","Мда."
"SAIN022SA","Sasha","But you need to dispense with them in a certain order. Eliminate these monsters in the proper sequence and we can move on to the next lesson.","Але їх треба ліквідувати в певному порядку. Усунь цих монстрів у належній послідовності, і ми перейдемо до наступного іспиту."
"SAMC001SA","Sasha","Young man, I hope you've learned a lesson here today.","Юначе, сподіваюсь, ти сьогодні засвоїв важливий урок."
"SAMC002RA","Raz","Yes I have.","Звісно."
"SAMC003RA","Raz","That shooting things is fun and useful.","Стріляти весело й корисно."
"SAMC004SA","Sasha","No, that once you lose control of your own mind, it's very hard to get it back!","Ні. Те, що втративши контроль над розумом, дуже важко повернути його!"
"SAMC005RA","Raz","Yes. One's thoughts must be 100% controlled at all times!","Так. Ми маємо контролювати всі наші думки безперестанку!"
"SAMC006SA","Sasha","Well, no. Actually, if you try to completely suppress your undesirable feelings, they'll build and build and eventually explode.","Ну, ні. Коли ти намагаєшся повністю придушити всі небажані почуття, вони накопичуватимуться й зрештою луснуть."
"SAMC007RA","Raz","Oh. So, uh, what would happen if you were to, say, completely block off all your censor outlets?","Ось як. А що буде якщо, скажімо, заткнути всі щілини, з яких пруть цензори?"
"SAMC008SA","Sasha","Well, there would be a buildup of censor energy within, that would... uh… eventually…","Що ж, всередині утвориться скупчення енергії цензорів, і це призведе... е-е… до…"
"SAMC009SA","Sasha","Run, Razputin. Very fast.","Тікай, Разпутіне. Швидше."
"SAMC010SA","Sasha","You are my own creation. I command you to stop!","Ти — моє власне творіння. Я наказую зупинитись!"
"SAMC012SA","Sasha","Ahhhhhhh!","А-а-а-а-а-а!"
"SAMC013SA","Sasha","Razputin, it's time to earn your merit badge!","Разпутіне, час заробити свою нашивку!"
"SASE001SA","Sasha","Again.","Знову."
"SASE002SA","Sasha","Come now. Focus.","Ну ж бо. Зосередься."
"SASE003SA","Sasha","Shoot!","Стріляй!"
"SASE004SA","Sasha","Repeat.","Ще раз."
"SASE005SA","Sasha","What are you waiting for?","Чого ж ти чекаєш?"
"SASE006SA","Sasha","Let's get moving.","Уперед."
"SASE007SA","Sasha","Excellent.","Блискуче."
"SASE008SA","Sasha","Control.","Контролюй."
"SASE009SA","Sasha","Focus.","Фокусуй."
"SASE010SA","Sasha","Concentrate.","Концентруй."
"SASE011SA","Sasha","Release.","Вивільняй."
"SASE012SA","Sasha","Try it again.","Спробуй ще раз."
"SASS001SA","Sasha","Ahhhhh!","А-ах-х-х!"
"SASS002SA","Sasha","Ach!","Ай!"
"SASS003SA","Sasha","Ai-ai-ai-ai-ai!","Ай-ай-ай-ай-ай!"
"SASS004SA","Sasha","Razputin!","Разпутіне!"
"SASS005SA","Sasha","Oooh-ooh-oooh...","О-о-ой-йой-йо-ой..."
"SASS006SA","Sasha","Peel me off and put me down!","Відірви мене й постав на землю!"
"SASS007SA","Sasha","Enough!","Досить!"
"SASS008SA","Sasha","Oof!","Уф!"
"SASS009SA","Sasha","Uggg!","Уф-ф!"
"SASS010SA","Sasha","Ow!","Ой!"
"SASS011SA","Sasha","Gahhhh!","А-х-х-х-х!"
"SAAB001SA","Sasha","No, Raz, shoot them in order. Let's try this again.","Ні, Разе, стріляй у послідовності. Спробуй ще раз."
"SAAC002RA","Raz","This is controlled by that dial over there.","Потік контролюється тим перемикачем."
"SAAD003RA","Raz","This is going to take forever. I wonder if I can speed it up somehow.","Це займе цілу вічність. Може можна якось пришвидшити процес."
"SAAD004RA","Raz","I wonder what would happen if I turned that dial up.","Цікаво, може смикнути той перемикач?"
"SACD001RA","Raz","So, is this where I get a speech and learn another lesson?","Зараз ви мені влаштуєте ще одну лекцію про важливий урок?"
"SACD002SA","Sasha","No. Here's your merit badge. Let us never speak of this again.","Ні. Ось твоя нашивка. Більше не підійматимемо цю тему."
"SAFB001SA","Sasha","Now then...","Ну що ж..."
"SAFB002SA","Sasha","Is this what you saw in your vision?","Це те чудовисько з твого віщого сну?"
"SAFB005SA","Sasha","An integral part of any sane person's mind.","Невіддільна частина розуму будь-якої притомної людини."
"SAFB006SA","Sasha","The censors roam through your psyche, looking for thoughts that don't belong.","Цензори блукають твоєю свідомістю в пошуку неналежних думок."
"SAFB007SA","Sasha","Hallucinations, manias, waking dreams--the censors hunt them down and censor them out.","Галюцинації, манії, сни наяву — все це цензори відстежують та придушують."
"SAFB008RA","Raz","Why do they come after me? I'm not a mania!","А на мене нащо нападати? Я ж не манія!"
"SAFB009SA","Sasha","Yes, but you are a foreign entity in my mind. You technically don't belong here.","Так, але ти чужа істота в моєму розумі. З технічної точки зору, ти тут не належиш."
"SAFB901SA","Sasha","Yes. Well, the Brain Tumbler could be malfunctioning. Or you could be insane.","Твоя правда. Ну, можливо, мозковий тумблер барахлить. Або ти божевільний."
"SAFB902SA","Sasha","We'll test for that later. For now...","Це ми дізнаємось згодом. А поки що..."
"SAFB010RA","Raz","So, what do I do?","То що мені робити?"
"SAFB011SA","Sasha","Blast it!","Стріляй!"
"SAFB012SA","Sasha","That's the spirit.","Оце я розумію характер."
"SAFB013RA","Raz","I killed it.","Поклав і не помітив."
"SAFB014SA","Sasha","It was just a thought I was having. And it's not dead. It has just returned to its basic form--raw psychic energy. Go absorb it. It's good for your mental health.","Він був лиш простою думкою. Але вона не зникла, а повернулася до своєї початкової форми — чистої псіенергії. Засвой її. Корисно для ментального здоров'я."
"SAFB015SA","Sasha","Now I'll leave the machine on for you, so you can practice. You have to blast 1000 censors to earn your Marksmanship Merit Badge.","А тепер, я залишу тебе із цією машиною на самоті. Попрактикуйся. Ти отримаєш нашивку стрільби, коли знищиш 1000 цензорів."
"SAFB016SA","Sasha","Come back every day for practice, and you should have enough in as little as three weeks!","Приходь на тренування кожного дня, і впораєшся десь тижні зо три!"
"SAFB017RA","Raz","Three weeks! I only have a few days to earn ALL my merit badges and become a Psychonaut.","Три тижні! У мене є лише кілька днів, щоб заробити ВСІ нашивки й стати психонавтом."
"SAFB018SA","Sasha","Slow and steady wins the race, my eager young friend. Now practice. Slowly and carefully.","Навпростець тільки круки літають, мій завзятий юний друже. Практикуйся. Повільно та обережно."
"SAFB019RA","Raz","Oh man...","Та щоб його..."
"SAFD001RA","Raz","I need to stop whatever's shooting out these censors!","Треба перекрити місце, звідки лізуть цензори!"
"SAFE001RA","Raz","Those little censors are re-energizing the big one somehow.","Ці цензерята якимось чином підживлюють великого."
