"Identifier","Context","Source string","Translation"
"THSD001BE","Becky","No, I am not kidding! We need more flowers for the musical number! And let's pick up the pace on the lighting cues, huh?",""
"THSD002BE","Becky","Okay, people, let's go.  I want to see happy! Happy, happy, happy!",""
"THSD003BE","Becky","Hey, you!  You are not selling me happy! Don't make me come over there! I will beat it out of you if I have to!",""
"THSD004BE","Becky","Finally!",""
"THSD005BE","Becky","Okay, the leading man is here. Somebody tell wardrobe and make-up. He's cute, but he needs a LOT of work.",""
"THSD006BE","Becky","Where were you? We have been improvising forever! Just go to your mark and be ready with your lines!",""
"THSD007BE","Becky","I HOPE you know your lines!",""
"THSD041BE","Becky","You'd better be right. She'd better show this time!",""
"THSD042BE","Becky","Alright, people, let's go in Five! Four! Three!",""
"THSD026BE","Becky","Okay we need the sun out here, pronto! Cue the sun! Cue the sun!",""
"THSD027BE","Becky","Bonita Soleil, on stage right now!",""
"THSD028BE","Becky","Soleil's a no-show AGAIN. Okay, you know what that means! Time to swap plays! Strike the stage! ""Sunshine Shenanigans"" is a wrap. Let's set it up for ""The Horror of Hagatha Home"" on the double! Let's go go go!",""
"THSD029HF","Yellow-Actor","Ahhhhh!","А-а-ах-х!"
"THSD030HF","Yellow-Actor","Hey, there hi there ho there, little buddy! Wwwwwwwwhat makes you want to go in a dark ol' place like that?",""
"THSD031SF","Pink-Flower","There's nothing in there but a bunch of frowny-downy, mopey-dopey, sad-face memories!",""
"THSD032FF","Orange-Flower","Yeah, ain't no happy place no how! You don't wanna go in there.",""
"THSD033HF","Yellow-Actor","What's that? You don't want to go in there? Why, that's just swell!",""
"THSD034HF","Yellow-Actor","Yay!","Ура!"
"THSD035HF","Yellow-Actor","Hey, buddy! Don't go there! Ha ha!",""
"THSD036HF","Yellow-Actor","Ha ha!","Ха-ха!"
"THSD038HF","Yellow-Actor","No, seriously. DON'T. GO. THERE.",""
"THSD039HF","Yellow-Actor","Ha ha ha!","Ха-ха-ха!"
"THSD040HF","Yellow-Actor","HA HA!","ХА-ХА!"
"THSN001HT","Hound-Actor","Bad! Bad girls! All I see are bad girls! Especially you!",""
"THSN002ST","Small-Thistle","Me? But what did I do?",""
"THSN003FT","Big-Thistle","You forgot yer lines stupid!",""
"THSN004HT","Hound-Actor","Your parents paid a lot of money to send you here to Hagatha Home School for Girls!",""
"THSN005ST","Small-Thistle","I don't want to study theater! I don't want to study dance! I want to go home!",""
"THSN006FT","Big-Thistle","What fur? You parents don't want ya, or they wouldn'ta sent ya here, now would they! Ha ha!",""
"THSN007ST","Small-Thistle","Well, then. Neither do yours!",""
"THSN008FT","Big-Thistle","She's right!",""
"THSN009HT","Hound-Actor","Ohhhh-oh! Oh, oh, oh. Ohhhh-ohhhhh ohhhhh! OH!",""
"THSN010ST","Small-Thistle","Hey, you! Do you know your lines!?",""
"THSN011RA","Raz","Uh...","Е-е..."
"THSN012ST","Small-Thistle","This little girl doesn't know her lines!",""
"THSN013FT","Big-Thistle","Get 'er!",""
"THSN014HT","Hound-Actor","Ahhhhhhhh!","Ах-х-х-х-х-!"
"THSD044BE","Becky","Don't bug me with that. Do I look like the prop master?",""
"THSD045BE","Becky","Will that help me find the understudy for puppy #10? Hmmm? No? THEN IT'S OF NO USE TO ME!!!",""
"THSD046BE","Becky","Do I need this? Do I need more stress???",""
"THSD047BE","Becky","Out of the way, prop!",""
"THSD048BE","Becky","Yeah, yeah, yeah. Whatever.",""
"THSD049BE","Becky","Not on my stage, kid!",""
"THSD050BE","Becky","Don't touch anything! This is an extremely controlled environment!",""
"THSD051BE","Becky","Everything is as it should be!",""
"THSD052BE","Becky","A place for every actor and every actor in their place!",""
"THSD053BE","Becky","I can do this. I can do this. I can do this.",""
"THSD054BE","Becky","I am in control. I am in control. I am in control.",""
"THSD055BE","Becky","People are listening to me. People listen to me. People care about what I have to say. People respect me. People are listening to me.",""
"THSD056BE","Becky","Why do you all hate me!?!",""
"THSD057BE","Becky","Oh, shut up, you stupid, happy, morons.",""
"THSD058BE","Becky","The only thing that would help this play is weed killer!",""
"THSD059BE","Becky","Okay, forget I said that! I just want happy! Happy, happy, happy!",""
