"identifier","labels","context","source","translation"
"WWAB000FR","WWAB","Fred","(Sigh.)","(Sigh.)"
"WWAB004FR","WWAB","Fred","(Yawn.)","(Yawn.)"
"WWAB005FR","WWAB","Fred","Ffffffppt. ","Ffffffppt. "
"WWAB006RA","WWAB","Raz","Who's winning?","Who's winning?"
"WWAB007NP","WWAB","Napoleon","Nobody's winning! Want to know who's losing? The Bonaparte family name!","Nobody's winning! Want to know who's losing? The Bonaparte family name!"
"WWAB008FR","WWAB","Fred","Look, I forfeit, okay? You win! Napoleon Bonaparte wins again!","Look, I forfeit, okay? You win! Napoleon Bonaparte wins again!"
"WWAB009RA","WWAB","Raz","Is that the real Napoleon Bonaparte? I mean the imaginary real Napoleon Bonaparte?","Is that the real Napoleon Bonaparte? I mean the imaginary real Napoleon Bonaparte?"
"WWAB010FR","WWAB","Fred","Yeah, I'm actually related to him, can you believe it? ","Yeah, I'm actually related to him, can you believe it? "
"WWAB011NP","WWAB","Napoleon","Shut up! Stop telling people that shameful fact!","Shut up! Stop telling people that shameful fact!"
"WWAB012NP","WWAB","Napoleon","I don't even want to be here, but when this sad excuse for a Bonaparte lost a simple game of war to a feeble minded invalid, I just could not take it anymore!","I don't even want to be here, but when this sad excuse for a Bonaparte lost a simple game of war to a feeble minded invalid, I just could not take it anymore!"
"WWAB013NP","WWAB","Napoleon","I was forced to take control, and I will stay in control until I beat the love of victory into this degenerate swine who dares to call himself a Bonaparte!","I was forced to take control, and I will stay in control until I beat the love of victory into this degenerate swine who dares to call himself a Bonaparte!"
"WWAB014FR","WWAB","Fred","No, really, great great great grandpa Napoleon. I do love victory, like...","No, really, great great great grandpa Napoleon. I do love victory, like..."
"WWAB015FR","WWAB","Fred","...a ton. I love it so much. You can go now. I swear.","...a ton. I love it so much. You can go now. I swear."
"WWAB016NP","WWAB","Napoleon","Your move!  ","Your move!  "
"WWAB017RA","WWAB","Raz","Who's winning now?","Who's winning now?"
"WWAB018FR","WWAB","Fred","Who do ya think?","Who do ya think?"
"WWAC000NP","WWAC","Napoleon","Hm.","Hm."
"WWAC001NP","WWAC","Napoleon","Hmmm.","Hmmm."
"WWAC002NP","WWAC","Napoleon","Hm!","Hm!"
"WWAC003NP","WWAC","Napoleon","Hm...","Hm..."
"WWAC004NP","WWAC","Napoleon","Geh!","Geh!"
"WWAC005NP","WWAC","Napoleon","Hm-hmm.","Hm-hmm."
"WWAC006NP","WWAC","Napoleon","Hah ha ha.","Hah ha ha."
"WWAD000RA","WWAD","Raz","Hey, Fred. The problem is people think you don't care.","Hey, Fred. The problem is people think you don't care."
"WWAD004RA","WWAD","Raz","They think you don't care if they live or die.","They think you don't care if they live or die."
"WWAD007FR","WWAD","Fred","Huh.","Huh."
"WWAD012FR","WWAD","Fred","Hey, you take that little victory if you need it, tiny man. ","Hey, you take that little victory if you need it, tiny man. "
"WWAE002RA","WWAE","Raz","How about writing a check, actually? Building an army is going to cost us a little.","How about writing a check, actually? Building an army is going to cost us a little."
"WWAE006FR","WWAE","Fred","I haven't really seen it since I tried to melt it down...","I haven't really seen it since I tried to melt it down..."
"WWAE009NP","WWAE","Napoleon","Big surprise there.","Big surprise there."
"WWAE010RA","WWAE","Raz","So, where do you think that rare coin is?","So, where do you think that rare coin is?"
"WWAE011FR","WWAE","Fred","I don't know. I remember trying to melt it down, and burning my hands, and then running to the kitchen for some ice, and then fainting.","I don't know. I remember trying to melt it down, and burning my hands, and then running to the kitchen for some ice, and then fainting."
"WWAE013FR","WWAE","Fred","Hey, you found my super valuable, rare coin!","Hey, you found my super valuable, rare coin!"
"WWAE014RA","WWAE","Raz","Yeah. Can I have it?","Yeah. Can I have it?"
"WWAF001CN","WWAF","Carpenter","Go away, burglar!","Go away, burglar!"
"WWAF003CN","WWAF","Carpenter","Listen, I know you're a burglar. I've been listening to your footsteps on my roof all night, trying to break in. Why don't you just slide down the chimney? I got a nice fire going for you in here, Mr. Burglar!","Listen, I know you're a burglar. I've been listening to your footsteps on my roof all night, trying to break in. Why don't you just slide down the chimney? I got a nice fire going for you in here, Mr. Burglar!"
"WWAF005CN","WWAF","Carpenter","Maybe you're a ventriloquist.","Maybe you're a ventriloquist."
"WWAF007CN","WWAF","Carpenter","Maybe. ","Maybe. "
"WWAF008RA","WWAF","Raz","Good enough!","Good enough!"
"WWAF010CN","WWAF","Carpenter","Well, I think you ventriloquist burglars usually walk across those ropes that are tied to my neighbor's roof. ","Well, I think you ventriloquist burglars usually walk across those ropes that are tied to my neighbor's roof. "
"WWAF011CN","WWAF","Carpenter","You know, I should really take those down with all the burglars we have walking around...","You know, I should really take those down with all the burglars we have walking around..."
"WWAF012RA","WWAF","Raz","Will you join our cause if I take care of your roof burglar?","Will you join our cause if I take care of your roof burglar?"
"WWAG001P1","WWAG","Peasant-1","Go away! Fred Bonaparte has forgotten the people, and we have forgotten him!","Go away! Fred Bonaparte has forgotten the people, and we have forgotten him!"
"WWAG003P1","WWAG","Peasant-1","He has abandoned us! He doesn't care if we live or die!","He has abandoned us! He doesn't care if we live or die!"
"WWAG005P1","WWAG","Peasant-1","I'll believe it when I hear it from him!","I'll believe it when I hear it from him!"
"WWAG007P1","WWAG","Peasant-1","Did you talk to Fred Bonaparte yet?","Did you talk to Fred Bonaparte yet?"
"WWAH001P2","WWAH","Peasant-2","Yes!","Yes!"
"WWAH003P2","WWAH","Peasant-2","Hm. What's the pay?","Hm. What's the pay?"
"WWAH005P2","WWAH","Peasant-2","Pffft! Forget it.","Pffft! Forget it."
"WWAH006RA","WWAH","Raz","Hi. So now that the guy is gone--","Hi. So now that the guy is gone--"
"WWAH008P2","WWAH","Peasant-2","What's the pay?","What's the pay?"
"WWAH010P2","WWAH","Peasant-2","This work is hazardous.  I want hazard pay.","This work is hazardous.  I want hazard pay."
"WWAH012P2","WWAH","Peasant-2","Not for me you understand. It's to take care of my family once I'm killed. ","Not for me you understand. It's to take care of my family once I'm killed. "
"WWAH014P2","WWAH","Peasant-2","Yeah, right.","Yeah, right."
"WWAH015P2","WWAH","Peasant-2","You just come back when you get Fred to pay up.","You just come back when you get Fred to pay up."
"WWAI001P3","WWAI","Peasant-3","Go away! I'm not coming out 'til the soldier's gone! I'm unarmed!","Go away! I'm not coming out 'til the soldier's gone! I'm unarmed!"
"WWAI003P3","WWAI","Peasant-3","Yeah, nice try.","Yeah, nice try."
"WWAI004RA","WWAI","Raz","Hello? I'm recruiting soldiers for the army of the caring and generous Fred Bonaparte--","Hello? I'm recruiting soldiers for the army of the caring and generous Fred Bonaparte--"
"WWAI005P3","WWAI","Peasant-3","Weapon.","Weapon."
"WWAI007P3","WWAI","Peasant-3","Weapon. That's what I want. I'm not going to die like the others, okay?","Weapon. That's what I want. I'm not going to die like the others, okay?"
"WWAI009P3","WWAI","Peasant-3","You get me my special Musket and I'll come out. I think I left it buried in some hay in that heavily-guarded building over there.","You get me my special Musket and I'll come out. I think I left it buried in some hay in that heavily-guarded building over there."
"WWAI010P3","WWAI","Peasant-3","Then I'll sign up and kill me some Napoleon-lovers. Got it?","Then I'll sign up and kill me some Napoleon-lovers. Got it?"
"WWAI012RA","WWAI","Raz","Hey, what was it you--","Hey, what was it you--"
"WWAI013P3","WWAI","Peasant-3","Weapon. Weapon. In the hay, in that building.","Weapon. Weapon. In the hay, in that building."
"WWAI014RA","WWAI","Raz","Right! Okay! Stay put! ","Right! Okay! Stay put! "
"WWAJ001KN","WWAJ","Knight","Sorry! I can't storm Napoleon's stronghold today. Too weak.","Sorry! I can't storm Napoleon's stronghold today. Too weak."
"WWAJ003RA","WWAJ","Raz","Want me to call a doctor?","Want me to call a doctor?"
